"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getactivities-request","getactivities-request","","","",0,*,"","","","null {[]} {[]}
","GetActivities — Request","Logisk modell för requestparametrar i tjänstekontraktet GetActivities
(RIV-TA urn:riv:clinicalprocess:activity:actions:GetActivities:1).
Den enda obligatoriska sökparametern är patientId.
Övriga parametrar är valfria filter (se Regel 1.1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getactivities-request.patientId","getactivities-request.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Personidentifierare för patient","Begränsar sökningen till angiven personidentifierare för en patient (IIType).
Tjänsteproducenten ska i svaret leverera alla uppgifter kopplad till patienten.
root = OID för typ (personnummer: 1.2.752.129.2.1.3.1,
samordningsnummer: 1.2.752.129.2.1.3.3). Se Regel 1.1.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getactivities-request.patientId",1,1,"",""
"getactivities-request.time","getactivities-request.time","","","",0,1,"","","","Period {[]} {[]}
","Sökintervall (tidsperiod)","Begränsar sökningen till det angivna tidsintervallet (TimePeriodType).
Om sökningen begränsas med detta attribut ska poster som saknar Activity.Time inte returneras.
start och end är båda valfria (0..1 vardera) — format ÅÅÅÅMMDDttmmss.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getactivities-request.time",0,1,"",""
"getactivities-request.activityCode","getactivities-request.activityCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Filter på typ av aktivitet","Begränsar sökningen till en viss typ av aktivitet (CVType).
Motsvarar activity.code i svaret.
code och codeSystem är obligatoriska; displayName, codeSystemName, codeSystemVersion ska ignoreras.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getactivities-request.activityCode",0,*,"",""
"getactivities-request.activityId","getactivities-request.activityId","","","",0,*,"","","","Identifier {[]} {[]}
","Filter på aktivitetsidentifierare","Unikt värde för aktiviteten som också refererar till vilket källsystem informationen kommer ifrån.
Motsvarar activity/id i svaret (IIType).
root = källsystemets HSA-id, extension = unikt id i källsystemet.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getactivities-request.activityId",0,*,"",""
"getactivities-request.sourceSystemId","getactivities-request.sourceSystemId","","","",0,1,"","","","Identifier {[]} {[]}
","Filter på källsystem","Begränsar sökningen till aktivitet som är skapad i det angivna källsystemet (IIType).
root = OID för HSA-id: 1.2.752.129.2.1.4.1. extension = HSA-id för källsystemet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getactivities-request.sourceSystemId",0,1,"",""
"getactivities-request.careGiverId","getactivities-request.careGiverId","","","",0,1,"","","","Identifier {[]} {[]}
","Filter på vårdgivare","Begränsar sökningen till aktivitet från en specifik vårdgivare (IIType).
root = OID för HSA-id: 1.2.752.129.2.1.4.1. extension = HSA-id för vårdgivaren.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getactivities-request.careGiverId",0,1,"",""
"getactivities-request.careUnitId","getactivities-request.careUnitId","","","",0,1,"","","","Identifier {[]} {[]}
","Filter på vårdenhet","Begränsar sökningen till en vårdenhet (IIType).
root = OID för HSA-id: 1.2.752.129.2.1.4.1. extension = HSA-id för PDL-vårdenheten.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getactivities-request.careUnitId",0,1,"",""
"getactivities-request.interactionAgreementId","getactivities-request.interactionAgreementId","","","",1,1,"","","","string {[]} {[]}
","Interaktionsöverenskommelse-id","Används inte i denna version. Ange alltid UUID: 2866a7c4-9c60-433f-9035-a4d779ffe7a1.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getactivities-request.interactionAgreementId",1,1,"",""
"getactivities-request.relation","getactivities-request.relation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Filter på relationer","Begränsar sökningen till aktiviteter med avseende på hur de är relaterade till
andra uppgifter i journalsystem (RelationFilterType).
Minst en av relation.typeCode och relation.relationId ska vara angiven.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getactivities-request.relation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getactivities-request.relation.id","getactivities-request.relation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getactivities-request.relation.extension","getactivities-request.relation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getactivities-request.relation.modifierExtension","getactivities-request.relation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getactivities-request.relation.typeCode","getactivities-request.relation.typeCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Filter på relations-/sambandstyp","Filtrera på relations-/sambandstyp (CVType).
code och codeSystem är valfria; displayName, codeSystemName, codeSystemVersion ska ignoreras.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getactivities-request.relation.typeCode",0,1,"",""
"getactivities-request.relation.relationId","getactivities-request.relation.relationId","","","",0,1,"","","","Identifier {[]} {[]}
","Filter på identitet i relation","Begränsar sökningen till aktiviteter med den identitet som anges i sambandet (IIType).
Exempelvis möjlighet att söka alla aktiviteter med relation till en viss observation.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getactivities-request.relation.relationId",0,1,"",""
"getactivities-request.relation.referredInformationType","getactivities-request.relation.referredInformationType","","","",1,1,"","","","string {[]} {[]}
","Typ av refererad information","Den typ av uppgift i patientjournal som sambandet pekar ut.
Kod från Categorization i engagemangsindexposten.
Möjliga värden: 'chb-o' (observation), 'caa-ga' (aktivitet).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getactivities-request.relation.referredInformationType",1,1,"",""
