"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"processrequest","processrequest","","","",0,*,"","","","null {[]} {[]}
","ProcessRequest — Remiss (begäran)","Logisk modell för begäran i ProcessRequest (RIV-TA urn:riv:clinicalprocess:activity:request:ProcessRequestResponder:2, element request av typen RequestType). Remittenten skickar en allmänremiss till remissmottagaren. Svaret är enbart ett resultat, se ProcessResult.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","processrequest-vr-intermediary:Om versionsorsak är VR (vidareskickad remiss) måste intermediaryParticipant anges (schematron Verify intermediaryParticipant) {reasonForVersion.typeOfReason = 'VR' implies intermediaryParticipant.exists()}
"
"processrequest.requestId","processrequest.requestId","","","",1,1,"","","","string {[]} {[]}
","Remiss id","Remissens identitet. Format Källsystem-Id(HSA-ID)#lokalt-id, mönster (.*)#(.*), maxlängd 256 tecken.","","","","","","","","","",,,,,"",,,,"processrequest.requestId",1,1,"",""
"processrequest.typeOfRequest","processrequest.typeOfRequest","","","",1,1,"","","","code {[]} {[]}
","Remisstyp","Typ av remiss. I denna version är enda giltiga kod 4 = allmänremiss.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/clinicalprocess-activity-request/ValueSet/requesttype-vs","",,,,"processrequest.typeOfRequest",1,1,"",""
"processrequest.versionTimeStamp","processrequest.versionTimeStamp","","","",1,1,"","","","dateTime {[]} {[]}
","Versionstidpunkt","Tidpunkt då versionen skapades (ÅÅÅÅMMDDttmmss). Kan skilja sig från tidpunkten då remissen skickas.","","","","","","","","","",,,,,"",,,,"processrequest.versionTimeStamp",1,1,"",""
"processrequest.versionNumber","processrequest.versionNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Versionsnummer","Remissens versionsnummer. Startar på 1 och räknas upp vid ändrad remiss, vidareskickad remiss och ändrat betalningsansvar. XSD-mönster (0*[1-9]+|[1-9])\d*.","","","","","","","","","",,,,,"",,,,"processrequest.versionNumber",1,1,"",""
"processrequest.reasonForVersion","processrequest.reasonForVersion","","","",1,1,"","","","BackboneElement {[]} {[]}
","Versionsorsak","Anger varför en ny version skapats.","","","","","","","","","",,,,,"",,,,"processrequest.reasonForVersion",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processrequest.reasonForVersion.id","processrequest.reasonForVersion.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processrequest.reasonForVersion.extension","processrequest.reasonForVersion.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processrequest.reasonForVersion.modifierExtension","processrequest.reasonForVersion.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processrequest.reasonForVersion.typeOfReason","processrequest.reasonForVersion.typeOfReason","","","",1,1,"","","","code {[]} {[]}
","Versionsorsak kod","Kv e-remiss versionsorsak [R5]: NR, AR, VR, AB. RIV-TA: typeOfReason.code.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/clinicalprocess-activity-request/ValueSet/versionreason-vs","",,,,"processrequest.reasonForVersion.typeOfReason",1,1,"",""
"processrequest.careResponsibilityRemains","processrequest.careResponsibilityRemains","","","",1,1,"","","","boolean {[]} {[]}
","Vårdansvar kvarstår","true = vårdansvar kvarstår hos remitterande enhet; false = begäran om övertagande av vårdansvar.","","","","","","","","","",,,,,"",,,,"processrequest.careResponsibilityRemains",1,1,"",""
