"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getmedicationhistory","getmedicationhistory","","","",0,*,"","","","null {[]} {[]}
","GetMedicationHistory","Logisk modell för tjänstekontraktet GetMedicationHistory
(RIV-TA urn:riv:clinicalprocess:activityprescription:actoutcome:GetMedicationHistoryResponder:2).
Representerar responsens informationsstruktur — läkemedelshistorik per patient.

OBS: Kontraktet är tämligen omfattande. Se tillämpningsanvisningen
(AB_clinicalprocess_activityprescription_actoutcome.docx) för implementationsdetaljer.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getmedicationhistory.medicationMedicalRecord","getmedicationhistory.medicationMedicalRecord","","","",0,*,"","","","BackboneElement {[]} {[]}
","Patientens läkemedelshistorik","En läkemedelsjournalpost per ordination. En patient kan ha många poster.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getmedicationhistory.medicationMedicalRecord",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getmedicationhistory.medicationMedicalRecord.id","getmedicationhistory.medicationMedicalRecord.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getmedicationhistory.medicationMedicalRecord.extension","getmedicationhistory.medicationMedicalRecord.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getmedicationhistory.medicationMedicalRecord.modifierExtension","getmedicationhistory.medicationMedicalRecord.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","Basinformation om dokumentet","Basinformation om dokumentet","","","","","","","","","",,,,,"",,,,"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.id","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.extension","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.modifierExtension","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.documentId","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.documentId","","","",1,1,"","","","string {[]} {[]}
","Identifierare för uppgift (vanligtvis ordinations-id)","Vanligtvis ordinations-id eller ordinations-id kompletterat med löpnummer.","","","","","","","","","",,,,,"",,,,"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.documentId",1,1,"",""
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.sourceSystemHSAId","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.sourceSystemHSAId","","","",1,1,"","","","Identifier {[]} {[]}
","Källsystemets HSA-id","Källsystemets HSA-id","","","","","","","","","",,,,,"",,,,"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.sourceSystemHSAId",1,1,"",""
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.documentTitle","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.documentTitle","","","",0,1,"","","","string {[]} {[]}
","Titel som beskriver informationen","Titel som beskriver informationen","","","","","","","","","",,,,,"",,,,"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.documentTitle",0,1,"",""
"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.patientId","getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Personidentifierare för patienten","Personidentifierare för patienten","","","","","","","","","",,,,,"",,,,"getmedicationhistory.medicationMedicalRecord.medicationMedicalRecordHeader.patientId",1,1,"",""
