"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getvaccinationhistory","getvaccinationhistory","","","",0,*,"","","","null {[]} {[]}
","GetVaccinationHistory","Logisk modell för tjänstekontraktet GetVaccinationHistory
(RIV-TA urn:riv:clinicalprocess:activityprescription:actoutcome:GetVaccinationHistoryResponder:2).
Representerar responsens informationsstruktur — vaccinationsjournal per patient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getvaccinationhistory.vaccinationMedicalRecord","getvaccinationhistory.vaccinationMedicalRecord","","","",0,*,"","","","BackboneElement {[]} {[]}
","En strukturerad vaccinationsjournal","En strukturerad vaccinationsjournal. Kan innehålla en eller flera administreringsposter.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getvaccinationhistory.vaccinationMedicalRecord.id","getvaccinationhistory.vaccinationMedicalRecord.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.extension","getvaccinationhistory.vaccinationMedicalRecord.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getvaccinationhistory.vaccinationMedicalRecord.modifierExtension","getvaccinationhistory.vaccinationMedicalRecord.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","Basinformation om dokumentet","Basinformation om dokumentet","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.id","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.extension","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.modifierExtension","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentId","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentId","","","",1,1,"","","","string {[]} {[]}
","Identifierare för uppgift i patientjournal","Identifieraren ska vara konsistent och beständig mellan anrop.","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentId",1,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.sourceSystemHSAId","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.sourceSystemHSAId","","","",1,1,"","","","Identifier {[]} {[]}
","Det källsystem som uppgiften lagras i","Sätts till OID för HSA-katalogen (1.2.752.129.2.1.4.1).","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.sourceSystemHSAId",1,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentTitle","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentTitle","","","",0,1,"","","","string {[]} {[]}
","Titel som beskriver informationen","Titel som beskriver informationen","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentTitle",0,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentTime","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentTime","","","",0,1,"","","","instant {[]} {[]}
","Händelsetidpunkt (vaccinationstidpunkt)","Händelsetidpunkt (vaccinationstidpunkt)","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.documentTime",0,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.patientId","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Personidentifierare för patienten","id = patientens identifierare (12 tecken utan avskiljare).
type = OID för typ av personidentifierare.","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.patientId",1,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dokumentationsansvarig","Dokumentationsansvarig","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.id","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.extension","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.modifierExtension","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.authorTime","getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.authorTime","","","",1,1,"","","","instant {[]} {[]}
","Tidpunkt för dokumentation","Tidpunkt för dokumentation","","","","","","","","","",,,,,"",,,,"getvaccinationhistory.vaccinationMedicalRecord.vaccinationMedicalRecordHeader.accountableHealthCareProfessional.authorTime",1,1,"",""
