"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getdispenseddrugs","getdispenseddrugs","","","",0,*,"","","","null {[]} {[]}
","GetDispensedDrugs","Logisk modell för tjänstekontraktet GetDispensedDrugs
(RIV-TA urn:riv:clinicalprocess:activityprescription:logistics:GetDispensedDrugsResponder:1).
Representerar responsens informationsstruktur: patientens läkemedelsförteckning med viss
ordinationsinformation för att kunna koppla ihop utlämnat läkemedel med ordinerat.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getdispenseddrugs.lakemedelsforteckning","getdispenseddrugs.lakemedelsforteckning","","","",0,*,"","","","BackboneElement {[]} {[]}
","Patientens läkemedelsförteckning","XSD: Receptexpeditionsrad. Patientens läkemedelsförteckning kompletterad med ordinationsmappningsinformation.
Om patienten saknar poster i läkemedelsförteckningen returneras en tom lista.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning",0,*,"","getdispenseddrugs-borttagen-fields:borttagsdatum och borttagsorsak returneras endast om borttagen är sant {borttagen = false implies (borttagsdatum.empty() and borttagsorsak.empty())}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"getdispenseddrugs.lakemedelsforteckning.id","getdispenseddrugs.lakemedelsforteckning.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.extension","getdispenseddrugs.lakemedelsforteckning.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getdispenseddrugs.lakemedelsforteckning.modifierExtension","getdispenseddrugs.lakemedelsforteckning.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getdispenseddrugs.lakemedelsforteckning.aktorsExpeditionsId","getdispenseddrugs.lakemedelsforteckning.aktorsExpeditionsId","","","",1,1,"","","","string {[]} {[]}
","Aktörens expeditionsId","Fältlängd 1..35.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.aktorsExpeditionsId",1,1,"",""
"getdispenseddrugs.lakemedelsforteckning.antalForpackningar","getdispenseddrugs.lakemedelsforteckning.antalForpackningar","","","",0,1,"","","","integer {[]} {[]}
","Antal förpackningar av utlämnad vara","Returneras om posten ej är en dosdispenserad artikel.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.antalForpackningar",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.antalPillerKlartext","getdispenseddrugs.lakemedelsforteckning.antalPillerKlartext","","","",0,1,"","","","string {[]} {[]}
","Antal avdelade doser inklusive enhet","Returneras om posten är en dosdispenserad artikel. Exempel: ""28 st"". Fältlängd 1..10.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.antalPillerKlartext",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation","getdispenseddrugs.lakemedelsforteckning.artikelinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","Information om utlämnad artikel","Information om utlämnad artikel","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.id","getdispenseddrugs.lakemedelsforteckning.artikelinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
