"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sendmessagetocare-request","sendmessagetocare-request","","","",0,*,"","","","null {[]} {[]}
","SendMessageToCare — Request","Logisk modell för requestparametrar i SendMessageToCare (meddelande från intygsmottagare till vården).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"sendmessagetocare-request.meddelandeId","sendmessagetocare-request.meddelandeId","","","",1,1,"","","","string {[]} {[]}
","Unikt ID för meddelandet (GUID)","Unikt ID för meddelandet (GUID)","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.meddelandeId",1,1,"",""
"sendmessagetocare-request.referensId","sendmessagetocare-request.referensId","","","",0,1,"","","","string {[]} {[]}
","Valfri referens till entitet hos sändande part","Valfri referens till entitet hos sändande part","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.referensId",0,1,"",""
"sendmessagetocare-request.skickatTidpunkt","sendmessagetocare-request.skickatTidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt då meddelandet skickades","Tidpunkt då meddelandet skickades","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.skickatTidpunkt",1,1,"",""
"sendmessagetocare-request.intygsId","sendmessagetocare-request.intygsId","","","",1,1,"","","","Identifier {[]} {[]}
","Unikt ID för det intyg meddelandet hör till","Unikt ID för det intyg meddelandet hör till","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.intygsId",1,1,"",""
"sendmessagetocare-request.patientPersonId","sendmessagetocare-request.patientPersonId","","","",1,1,"","","","Identifier {[]} {[]}
","Person- eller samordningsnummer för patienten","Person- eller samordningsnummer för patienten","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.patientPersonId",1,1,"",""
"sendmessagetocare-request.logiskAdressMottagare","sendmessagetocare-request.logiskAdressMottagare","","","",1,1,"","","","string {[]} {[]}
","Logisk adress för den vårdenhet meddelandet ska vidarebefordras till","För nya frågor: enheten som utfärdade intyget.
För svar: hämtas från frågan (skickatAv.enhet.enhets-id.extension).","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.logiskAdressMottagare",1,1,"",""
"sendmessagetocare-request.amne","sendmessagetocare-request.amne","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Ämne för frågan/meddelandet","Ämne för frågan/meddelandet","","","","","","","","","",,"required","","https://fhir.inera.se/ig/clinicalprocess-healthcond-certificate/ValueSet/amneskod-vs","",,,,"sendmessagetocare-request.amne",1,1,"",""
"sendmessagetocare-request.rubrik","sendmessagetocare-request.rubrik","","","",0,1,"","","","string {[]} {[]}
","Valfri rubrik som beskriver meddelandet","Valfri rubrik som beskriver meddelandet","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.rubrik",0,1,"",""
"sendmessagetocare-request.meddelande","sendmessagetocare-request.meddelande","","","",1,1,"","","","string {[]} {[]}
","Meddelandets text","Om ämne är 'Komplettering' kan detta fält vara tomt (FK-avtal).
Kompletteringstext per fråga skickas i fältet komplettering.text.","","","","","","","","","",,,,,"",,,,"sendmessagetocare-request.meddelande",1,1,"",""
