"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getfunctionalstatus","getfunctionalstatus","","","",0,*,"","","","null {[]} {[]}
","GetFunctionalStatus","Logisk modell för tjänstekontraktet GetFunctionalStatus
(RIV-TA urn:riv:clinicalprocess:healthcond:description:GetFunctionalStatusResponder:2).
Representerar responsens informationsstruktur: dokumenterade bedömningar av
funktionsnedsättningar och/eller aktivitetsförmåga (PADL) för en patient.
Bedömningskategori styrs av assessmentCategory: 'pad-pad' (PADL) eller 'fun-fun' (funktionsnedsättning).
En tjänsteproducent måste använda samma värde för categorization i engagemangsindex som
för assessmentCategory i svaret.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getfunctionalstatus.functionalStatusAssessment","getfunctionalstatus.functionalStatusAssessment","","","",0,*,"","","","BackboneElement {[]} {[]}
","Funktionsstatusbedömning","De funktionsstatusbedömningar som matchar begäran.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getfunctionalstatus.functionalStatusAssessment.id","getfunctionalstatus.functionalStatusAssessment.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getfunctionalstatus.functionalStatusAssessment.extension","getfunctionalstatus.functionalStatusAssessment.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfunctionalstatus.functionalStatusAssessment.modifierExtension","getfunctionalstatus.functionalStatusAssessment.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dokumenthuvud (PatientSummaryHeader)","Innehåller basinformation om dokumentet (PatientSummaryHeaderType).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.id","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.extension","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.modifierExtension","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.documentId","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.documentId","","","",1,1,"","","","string {[]} {[]}
","Dokumentets identitet","Funktionsbedömningens identitet som är unik inom källsystemet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.documentId",1,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.sourceSystemHSAId","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.sourceSystemHSAId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för källsystem","HSA-id för det system som tillgängliggör informationen.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.sourceSystemHSAId",1,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.documentTime","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.documentTime","","","",1,1,"","","","dateTime {[]} {[]}
","Bedömningstidpunkt","Bedömningstidpunkt/händelsetidpunkt. Format: YYYYMMDDhhmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.documentTime",1,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.patientId","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientidentifierare","Identifierare för patient. id = patientens identifierare (12 tecken).
type = OID för typ av identifierare.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.patientId",1,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional","","","",1,1,"","","","BackboneElement {[]} {[]}
","Ansvarig hälso- och sjukvårdsperson","Information om den hälso- och sjukvårdsperson som är ansvarig för informationen.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.id","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.extension","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.modifierExtension","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.authorTime","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.authorTime","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt för registrering","Tidpunkt då informationen registrerades. Format: YYYYMMDDhhmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.authorTime",1,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.healthcareProfessionalHSAId","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.healthcareProfessionalHSAId","","","",0,1,"","","","Identifier {[]} {[]}
","Författarens HSA-id","Författarens HSA-id.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.healthcareProfessionalHSAId",0,1,"",""
"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.healthcareProfessionalName","getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.healthcareProfessionalName","","","",0,1,"","","","string {[]} {[]}
","Namn","Namn på hälso- och sjukvårdspersonal.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getfunctionalstatus.functionalStatusAssessment.functionalStatusAssessmentHeader.accountableHealthcareProfessional.healthcareProfessionalName",0,1,"",""
