Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.clinicalprocess-healthcond-description.json	9209	-	0	0	0	0	1	0	7	27	0	0	0	0	0	0	0	0	0	0	261	76	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-assessmentcategory-cs.json	750	4	1	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	8	53	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-clinicaldocumentnotecode-cs.json	1252	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-diagnosistype-cs.json	625	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	35	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-getalertinformation-request.json	3615	1	0	3	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	191	437	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getalertinformation.json	15720	3	0	23	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	137	246	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-getcaredocumentation-request.json	4261	2	0	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getcaredocumentation.json	25337	3	0	36	0	0	0	0	0	42	0	0	0	0	0	0	0	1	0	0	277	274	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-getdiagnosis-request.json	3428	2	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	49	55	1	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getdiagnosis.json	16956	2	0	19	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	208	209	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-getfunctionalstatus-request.json	3618	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	171	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getfunctionalstatus.json	22142	5	0	23	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	163	180	0	0	0	7	0	1
fsh-generated/resources/ValueSet-assessmentcategory-vs.json	541	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	25	59	0	0	0	0	0	0
fsh-generated/resources/ValueSet-clinicaldocumentnotecode-vs.json	553	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	0
fsh-generated/resources/ValueSet-diagnosistype-vs.json	506	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	29	0	0	0	0	0	0
/input/includes/menu.xml	757	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	949	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/6-gemensamma-informationskomponenter.md	637	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/3-tjanstedomanens-arkitektur.md	6247	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/4-tjanstedomanens-krav-och-regler.md	11862	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
