"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getcareaplans","getcareaplans","","","",0,*,"","","","null {[]} {[]}
","GetCarePlans","Logisk modell för tjänstekontraktet GetCarePlans
(RIV-TA urn:riv:clinicalprocess:logistics:logistics:GetCarePlans:2).
Representerar responsens informationsstruktur (GetCarePlansResponseType).
En lista med CarePlanType returneras, var och en med ett header och ett body.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getcareaplans.carePlan","getcareaplans.carePlan","","","",0,*,"","","","BackboneElement {[]} {[]}
","Vård- och omsorgsplaner som matchar begäran","Lista med vård- och omsorgsplaner för patienten. Varje post innehåller
header (basinformation) och body (planspecifik information).
Kardinalitet: Valfri lista (0..*).","","","","","","","","","",,,,,"",,,,"getcareaplans.carePlan",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getcareaplans.carePlan.id","getcareaplans.carePlan.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getcareaplans.carePlan.extension","getcareaplans.carePlan.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcareaplans.carePlan.modifierExtension","getcareaplans.carePlan.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcareaplans.carePlan.documentId","getcareaplans.carePlan.documentId","","","",1,1,"","","","string {[]} {[]}
","Planens identitet, unik inom källsystemet","Vård- och omsorgsplanens identitet som är unik inom källsystemet.
Identifieraren ska vara konsistent och beständig mellan versioner och kontrakt.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getcareaplans.carePlan.documentId",1,1,"",""
"getcareaplans.carePlan.sourceSystemHSAId","getcareaplans.carePlan.sourceSystemHSAId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för källsystemet","HSA-id för det system som dokumentet är skapat i. Typ HSAIdType (string).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getcareaplans.carePlan.sourceSystemHSAId",1,1,"",""
"getcareaplans.carePlan.documentTitle","getcareaplans.carePlan.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Rubrik för vård- och omsorgsplanen","Text som innehåller en rubrik som beskriver innehållet i vård- och omsorgsplanen.
Exempel: ""Samordnad vårdplanering Rehabiliteringsplan"".
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getcareaplans.carePlan.documentTitle",1,1,"",""
"getcareaplans.carePlan.documentTime","getcareaplans.carePlan.documentTime","","","",0,1,"","","","dateTime {[]} {[]}
","Tidpunkt då planen upprättades","Tidpunkt då vård- och omsorgsplanen upprättats. Format YYYYMMDDhhmmss.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getcareaplans.carePlan.documentTime",0,1,"",""
"getcareaplans.carePlan.patientId","getcareaplans.carePlan.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens identifierare","Personnummer eller samordningsnummer (12 tecken utan avskiljare).
system = OID för typ: personnummer (1.2.752.129.2.1.3.1),
samordningsnummer (1.2.752.129.2.1.3.3), reservnummer (lokalt definierade OID).
Typ PersonIdType. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getcareaplans.carePlan.patientId",1,1,"",""
