"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"createlisting-request","createlisting-request","createlisting-request","","","",0,*,"","","","null {[]} {[]}
","CreateListing — Request","Logisk modell för requestparametrar i tjänstekontraktet CreateListing (Göra tjänsteval).
(RIV-TA urn:riv:crm:carelisting:CreateListingResponder:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"createlisting-request","createlisting-request.personId","createlisting-request.personId","","","",1,1,"","","","string {[]} {[]}
","Personnummer för den person som önskar göra ett tjänsteval","Identitetsbeteckning för vård- och omsorgstagaren.
Pattern: (([1-9]\d{7})|(\d{6}))[\-]?\d{4}
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"createlisting-request.personId",1,1,"",""
"createlisting-request","createlisting-request.listingType","createlisting-request.listingType","","","",1,1,"","","","string {[]} {[]}
","Typ av listning som önskas","Typ av listning som man önskar göra, t.ex. BVC.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"createlisting-request.listingType",1,1,"",""
"createlisting-request","createlisting-request.healthcareFacility","createlisting-request.healthcareFacility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-ID för den vårdenhet personen önskar lista sig på","HSA-ID för den vårdenhet som personen önskar lista sig på.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA-id).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"createlisting-request.healthcareFacility",1,1,"",""
"createlisting-request","createlisting-request.healthcareProfessional","createlisting-request.healthcareProfessional","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-ID för specifik resurs att lista sig på","HSA-ID för specifik resurs (läkare/husläkarteam) att lista sig på.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA-id).
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"createlisting-request.healthcareProfessional",0,1,"",""
"createlisting-request","createlisting-request.addToQueue","createlisting-request.addToQueue","","","",1,1,"","","","boolean {[]} {[]}
","Om personen vill ställa sig i kö","Anger om personen vill ställa sig i kö om det är kö på vårdenheten/resursen.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"createlisting-request.addToQueue",1,1,"",""
"createlisting","createlisting","createlisting","","","",0,*,"","","","null {[]} {[]}
","CreateListing","Logisk modell för tjänstekontraktet CreateListing (Göra tjänsteval)
(RIV-TA urn:riv:crm:carelisting:CreateListingResponder:1).
Representerar responsens informationsstruktur.
Skapar en ny listning — kopplar ett personId till en vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"createlisting","createlisting.success","createlisting.success","","","",1,1,"","","","boolean {[]} {[]}
","True om listningen genomfördes framgångsrikt","True if the requested listing was successfully completed, else false.
False indicates that the user needs to try another option for listing.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"createlisting.success",1,1,"",""
"createlisting","createlisting.comment","createlisting.comment","","","",0,1,"","","","string {[]} {[]}
","Information som kompletterar angiven status","Informationstext som kompletterar angiven status, t.ex. felmeddelande.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"createlisting.comment",0,1,"",""
"createlisting","createlisting.systemCode","createlisting.systemCode","","","",0,1,"","","","string {[]} {[]}
","Kod från underliggande listningssystem","Kod från underliggande listningssystem, i syfte att användas i dialog
med respektive listningssystems förvaltning.
Tjänstekonsumenten får inte binda logik till värden på dessa koder.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"createlisting.systemCode",0,1,"",""
