"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getavailabletimeslots","getavailabletimeslots","","","",0,*,"","","","null {[]} {[]}
","GetAvailableTimeslots","Logisk modell för tjänstekontraktet GetAvailableTimeslots
(RIV-TA urn:riv:crm:scheduling:GetAvailableTimeslots:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar lediga tider för angivet datumintervall.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabletimeslots.timeslotDetail","getavailabletimeslots.timeslotDetail","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med tillgängliga tider (TimeslotType)","Lista med tillgängliga tider.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getavailabletimeslots.timeslotDetail.id","getavailabletimeslots.timeslotDetail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getavailabletimeslots.timeslotDetail.extension","getavailabletimeslots.timeslotDetail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailabletimeslots.timeslotDetail.modifierExtension","getavailabletimeslots.timeslotDetail.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailabletimeslots.timeslotDetail.startTimeInclusive","getavailabletimeslots.timeslotDetail.startTimeInclusive","","","",1,1,"","","","string {[]} {[]}
","Startdatum och klockslag (ÅÅÅÅMMDDttmmss)","Startdatum och klockslag för bokad tid, på formatet ÅÅÅÅMMDDttmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.startTimeInclusive",1,1,"",""
"getavailabletimeslots.timeslotDetail.endTimeExclusive","getavailabletimeslots.timeslotDetail.endTimeExclusive","","","",1,1,"","","","string {[]} {[]}
","Slutdatum och klockslag (ÅÅÅÅMMDDttmmss)","Slutdatum och klockslag för bokad tid, på formatet ÅÅÅÅMMDDttmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.endTimeExclusive",1,1,"",""
"getavailabletimeslots.timeslotDetail.healthcare-facility","getavailabletimeslots.timeslotDetail.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.healthcare_facility",1,1,"",""
"getavailabletimeslots.timeslotDetail.performer","getavailabletimeslots.timeslotDetail.performer","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för Hos-person","HSA-id för Hos-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.performer",0,1,"",""
"getavailabletimeslots.timeslotDetail.bookingId","getavailabletimeslots.timeslotDetail.bookingId","","","",0,1,"","","","string {[]} {[]}
","Bokningsidentitet","Bokningsidentitet för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.bookingId",0,1,"",""
"getavailabletimeslots.timeslotDetail.purpose","getavailabletimeslots.timeslotDetail.purpose","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av besöksorsak angiven av vårdenhet","Beskrivning av besöksorsak angiven av vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.purpose",0,1,"",""
