"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelbooking-request","cancelbooking-request","cancelbooking-request","","","",0,*,"","","","null {[]} {[]}
","CancelBooking — Request","Logisk modell för requestparametrar i CancelBooking.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelbooking-request","cancelbooking-request.healthcare-facility","cancelbooking-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"cancelbooking-request.healthcare_facility",1,1,"",""
"cancelbooking-request","cancelbooking-request.bookingId","cancelbooking-request.bookingId","","","",1,1,"","","","string {[]} {[]}
","Intern bokningsidentitet","Intern bokningsidentitet för bokningen som ska avbokas.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"cancelbooking-request.bookingId",1,1,"",""
"cancelbooking-request","cancelbooking-request.message","cancelbooking-request.message","","","",0,1,"","","","string {[]} {[]}
","Invånarens beskrivning av orsak för avbokning","Invånarens beskrivning av orsak för avbokning.
Fältet kan bara skickas om värdet på message_allowed är 'true' i svaret från GetBookingDetails.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"cancelbooking-request.message",0,1,"",""
"cancelbooking","cancelbooking","cancelbooking","","","",0,*,"","","","null {[]} {[]}
","CancelBooking","Logisk modell för tjänstekontraktet CancelBooking
(RIV-TA urn:riv:crm:scheduling:CancelBooking:1).
Representerar responsens informationsstruktur.
Tjänst för att avboka en bokning vid en vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelbooking","cancelbooking.resultCode","cancelbooking.resultCode","","","",1,1,"","","","string {[]} {[]}
","Status för den gjorda avbokningen","ResultCodeEnum: Status för den gjorda avbokningen.
Möjliga värden: OK, INFO, ERROR.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"cancelbooking.resultCode",1,1,"",""
"cancelbooking","cancelbooking.resultText","cancelbooking.resultText","","","",0,1,"","","","string {[]} {[]}
","Ev. meddelande kopplat till resultatkoden","Fritext meddelande kopplat till resultatkoden.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"cancelbooking.resultText",0,1,"",""
"getallcaretypes-request","getallcaretypes-request","getallcaretypes-request","","","",0,*,"","","","null {[]} {[]}
","GetAllCareTypes — Request","Logisk modell för requestparametrar i GetAllCareTypes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallcaretypes-request","getallcaretypes-request.healthcare-facility","getallcaretypes-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.healthcare_facility",1,1,"",""
"getallcaretypes-request","getallcaretypes-request.timeTypeIDs","getallcaretypes-request.timeTypeIDs","","","",0,*,"","","","string {[]} {[]}
","Lista med tidstyper","Lista med tidstyper för att filtrera svarslistan.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.timeTypeIDs",0,*,"",""
"getallcaretypes-request","getallcaretypes-request.performer","getallcaretypes-request.performer","","","",0,*,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaren","HSA-id för medarbetaren för att filtrera svarslistan.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.performer",0,*,"",""
