Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.crm-scheduling.json	11456	-	0	0	0	0	0	0	10	35	0	0	0	0	0	0	0	1	0	0	89	113	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-result-code-cs.json	843	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	64	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cancelbooking-request.json	2333	4	0	4	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	22	443	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-cancelbooking.json	2068	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallcaretypes-request.json	2643	1	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallcaretypes.json	2674	1	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	28	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallhealthcarefacilities-request.json	2543	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallhealthcarefacilities.json	3016	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	29	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallperformers-request.json	2773	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	65	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-getallperformers.json	3458	1	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	70	0	0	0	1	0	0
