"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtavardtagareinformation","hamtavardtagareinformation","","","",0,*,"","","","null {[]} {[]}
","HamtaVardtagareinformation — Response","Logisk modell för svaret i HamtaVardtagareinformation
(urn:riv:druglogistics:dosedispensing:HamtaVardtagareinformationResponder:1, HamtaVardtagareinformationResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtavardtagareinformation.resultatkod","hamtavardtagareinformation.resultatkod","","","",1,1,"","","","code {[]} {[]}
","resultatkod","resultatkod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-resultatkod-vs","",,,,"hamtavardtagareinformation.resultatkod",1,1,"",""
"hamtavardtagareinformation.meddelandetext","hamtavardtagareinformation.meddelandetext","","","",1,1,"","","","string {[]} {[]}
","meddelandetext","meddelandetext","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.meddelandetext",1,1,"",""
"hamtavardtagareinformation.meddelandeid","hamtavardtagareinformation.meddelandeid","","","",1,1,"","","","integer {[]} {[]}
","meddelandeid","meddelandeid","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.meddelandeid",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation","hamtavardtagareinformation.Vardtagarinformation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Vardtagarinformation","Vardtagarinformation","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtavardtagareinformation.Vardtagarinformation.id","hamtavardtagareinformation.Vardtagarinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.extension","hamtavardtagareinformation.Vardtagarinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtavardtagareinformation.Vardtagarinformation.modifierExtension","hamtavardtagareinformation.Vardtagarinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtavardtagareinformation.Vardtagarinformation.hemmaboende","hamtavardtagareinformation.Vardtagarinformation.hemmaboende","","","",1,1,"","","","boolean {[]} {[]}
","hemmaboende","hemmaboende","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.hemmaboende",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.dosapoteksid","hamtavardtagareinformation.Vardtagarinformation.dosapoteksid","","","",1,1,"","","","string {[]} {[]}
","dosapoteksid","dosapoteksid","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.dosapoteksid",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.dosapoteknamn","hamtavardtagareinformation.Vardtagarinformation.dosapoteknamn","","","",1,1,"","","","string {[]} {[]}
","dosapoteknamn","dosapoteknamn","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.dosapoteknamn",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.forstadosdag","hamtavardtagareinformation.Vardtagarinformation.forstadosdag","","","",1,1,"","","","dateTime {[]} {[]}
","forstadosdag","forstadosdag","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.forstadosdag",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.avvikandedosschema","hamtavardtagareinformation.Vardtagarinformation.avvikandedosschema","","","",1,1,"","","","boolean {[]} {[]}
","avvikandedosschema","avvikandedosschema","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.avvikandedosschema",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation","hamtavardtagareinformation.Vardtagarinformation.Patientinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patientinformation","Patientinformation","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.id","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.extension","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.modifierExtension","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.fornamn","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.fornamn","","","",1,1,"","","","string {[]} {[]}
","fornamn","Anvandarens fornamn.","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.fornamn",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.mellannamn","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.mellannamn","","","",0,1,"","","","string {[]} {[]}
","mellannamn","Anvandarens mellanamn.","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.mellannamn",0,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.efternamn","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.efternamn","","","",1,1,"","","","string {[]} {[]}
","efternamn","Anvandarens efternamn.","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.efternamn",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.identitetstyp","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.identitetstyp","","","",1,1,"","","","code {[]} {[]}
","identitetstyp","identitetstyp","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-identitetstyp-vs","",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.identitetstyp",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.personid","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.personid","","","",1,1,"","","","string {[]} {[]}
","personid","Anvandarens personid","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.personid",1,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.lanskod","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.lanskod","","","",0,1,"","","","string {[]} {[]}
","lanskod","Anvandarens folkbokforda lanskod","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.lanskod",0,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.kommunkod","hamtavardtagareinformation.Vardtagarinformation.Patientinformation.kommunkod","","","",0,1,"","","","string {[]} {[]}
","kommunkod","Anvandarens folkbokforda kommunkod","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Patientinformation.kommunkod",0,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation","hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Hemmaboendeinformation","Hemmaboendeinformation","","","","","","","","","",,,,,"",,,,"hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation.id","hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation.extension","hamtavardtagareinformation.Vardtagarinformation.Hemmaboendeinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
