"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"checkblocks","checkblocks","","","",0,*,"","","","null {[]} {[]}
","CheckBlocks","Logisk modell för tjänstekontraktet CheckBlocks
(RIV-TA urn:riv:ehr:blocking:accesscontrol:CheckBlocksResponder:3).
Kontrollerar om spärr finns relativ viss personal/vårdenhet och information.
Version 3 validerar informationsresurserna separat och kan ge individuella felkoder per resurs.
Representerar responsens informationsstruktur.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"checkblocks.checkBlocksResult","checkblocks.checkBlocksResult","","","",1,1,"","","","BackboneElement {[]} {[]}
","Resultatlista — ett resultat per begärd informationsresurs","Resultatlista — ett resultat per begärd informationsresurs","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"checkblocks.checkBlocksResult.id","checkblocks.checkBlocksResult.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"checkblocks.checkBlocksResult.extension","checkblocks.checkBlocksResult.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks.checkBlocksResult.modifierExtension","checkblocks.checkBlocksResult.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks.checkBlocksResult.result","checkblocks.checkBlocksResult.result","","","",0,*,"","","","BackboneElement {[]} {[]}
","Spärrkontrollresultat per informationsresurs","Spärrkontrollresultat per informationsresurs","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult.result",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"checkblocks.checkBlocksResult.result.id","checkblocks.checkBlocksResult.result.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"checkblocks.checkBlocksResult.result.extension","checkblocks.checkBlocksResult.result.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks.checkBlocksResult.result.modifierExtension","checkblocks.checkBlocksResult.result.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"checkblocks.checkBlocksResult.result.informationCareProviderId","checkblocks.checkBlocksResult.result.informationCareProviderId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för vårdgivaren vars information kontrollerades","HSA-id för vårdgivaren vars information kontrollerades","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult.result.informationCareProviderId",1,1,"",""
"checkblocks.checkBlocksResult.result.informationCareUnitId","checkblocks.checkBlocksResult.result.informationCareUnitId","","","",0,1,"","","","string {[]} {[]}
","HSA-id för vårdenhet (vid inre spärr)","HSA-id för vårdenhet (vid inre spärr)","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult.result.informationCareUnitId",0,1,"",""
"checkblocks.checkBlocksResult.result.informationType","checkblocks.checkBlocksResult.result.informationType","","","",0,1,"","","","string {[]} {[]}
","Informationstyp som kontrollerades (t.ex. 'lak' eller 'upp')","Informationstyp som kontrollerades (t.ex. 'lak' eller 'upp')","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult.result.informationType",0,1,"",""
"checkblocks.checkBlocksResult.result.checkStatus","checkblocks.checkBlocksResult.result.checkStatus","","","",1,1,"","","","code {[]} {[]}
","Spärrresultat för denna informationsresurs","BLOCKED = information är spärrad, UNBLOCKED = information är inte spärrad,
VALIDATIONERROR = ogiltiga parametrar för denna resurs","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult.result.checkStatus",1,1,"",""
"checkblocks.checkBlocksResult.result.resultCode","checkblocks.checkBlocksResult.result.resultCode","","","",1,1,"","","","code {[]} {[]}
","Svarskod för anropet som helhet","Svarskod för anropet som helhet","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-blocking/ValueSet/resultcode-vs","",,,,"checkblocks.checkBlocksResult.result.resultCode",1,1,"",""
"checkblocks.checkBlocksResult.result.resultText","checkblocks.checkBlocksResult.result.resultText","","","",0,1,"","","","string {[]} {[]}
","Beskrivande text till svarskoden","Beskrivande text till svarskoden","","","","","","","","","",,,,,"",,,,"checkblocks.checkBlocksResult.result.resultText",0,1,"",""
