Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.ehr-blocking.json	16471	-	0	0	0	0	0	0	10	37	0	0	0	0	0	0	0	0	0	0	213	104	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-blocktype-cs.json	779	2	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	181	57	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-resultcode-cs.json	1841	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	45	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-temporaryrevokereason-cs.json	751	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-canceltemporaryextendedrevoke-request.json	8222	2	0	17	0	0	0	0	0	69	0	0	1	0	0	0	0	1	0	0	254	321	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-canceltemporaryextendedrevoke.json	3057	1	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-checkblocks-request.json	4746	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	50	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-checkblocks.json	5050	1	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	89	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-deleteextendedblock-request.json	6191	1	0	11	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	99	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-deleteextendedblock.json	2531	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	43	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallblocks-request.json	2021	1	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	88	48	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getallblocks.json	10592	1	0	15	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	89	111	0	0	0	3	0	0
