"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getinfologsforpatient","getinfologsforpatient","","","",0,*,"","","","null {[]} {[]}
","GetInfoLogsForPatient","Logisk modell för tjänstekontraktet GetInfoLogsForPatient
(RIV-TA urn:riv:ehr:log:querying:GetInfoLogsForPatientResponder:1).
Representerar responsens informationsstruktur (log.querying:InfoLogsResult).
Returnerar lista för angiven informationsägande vårdgivare och patient med
vilka externa vårdgivare som haft åtkomst till information.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getinfologsforpatient.result","getinfologsforpatient.result","","","",1,1,"","","","BackboneElement {[]} {[]}
","Resultatkontainer","Resultatkontainer","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.result",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getinfologsforpatient.result.id","getinfologsforpatient.result.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getinfologsforpatient.result.extension","getinfologsforpatient.result.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getinfologsforpatient.result.modifierExtension","getinfologsforpatient.result.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getinfologsforpatient.result.resultCode","getinfologsforpatient.result.resultCode","","","",1,1,"","","","code {[]} {[]}
","Statuskod","Statuskod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-log/ValueSet/resultcode-vs","",,,,"getinfologsforpatient.result.resultCode",1,1,"",""
"getinfologsforpatient.result.resultText","getinfologsforpatient.result.resultText","","","",0,1,"","","","string {[]} {[]}
","Beskrivande text","Beskrivande text","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.result.resultText",0,1,"",""
"getinfologsforpatient.result.startInterval","getinfologsforpatient.result.startInterval","","","",0,1,"","","","dateTime {[]} {[]}
","Start på tillgängligt datumintervall","Start på tillgängligt datumintervall","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.result.startInterval",0,1,"",""
"getinfologsforpatient.result.endInterval","getinfologsforpatient.result.endInterval","","","",0,1,"","","","dateTime {[]} {[]}
","Slut på tillgängligt datumintervall","Slut på tillgängligt datumintervall","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.result.endInterval",0,1,"",""
"getinfologsforpatient.result.queuedReportId","getinfologsforpatient.result.queuedReportId","","","",0,1,"","","","string {[]} {[]}
","Id för pågående rapport (UUID)","Id för pågående rapport (UUID)","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.result.queuedReportId",0,1,"",""
"getinfologsforpatient.result.queueTime","getinfologsforpatient.result.queueTime","","","",0,1,"","","","integer {[]} {[]}
","Uppskattad väntetid i sekunder","Uppskattad väntetid i sekunder","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.result.queueTime",0,1,"",""
"getinfologsforpatient.careProviders","getinfologsforpatient.careProviders","","","",0,1,"","","","BackboneElement {[]} {[]}
","Samling av externa vårdgivare med åtkomst","Samling av externa vårdgivare med åtkomst","","","","","","","","","",,,,,"",,,,"getinfologsforpatient.careProviders",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getinfologsforpatient.careProviders.id","getinfologsforpatient.careProviders.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getinfologsforpatient.careProviders.extension","getinfologsforpatient.careProviders.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
