"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getconsentsforcareprovider","getconsentsforcareprovider","","","",0,*,"","","","null {[]} {[]}
","GetConsentsForCareProvider","Logisk modell för tjänstekontraktet GetConsentsForCareProvider
(RIV-TA urn:riv:ehr:patientconsent:querying:GetConsentsForCareProviderResponder:1).
Representerar responsens informationsstruktur.

Tjänst som läser alla giltiga samtyckesintyg för en viss vårdgivare med grundinformation.
Stödjer paginering via flaggan HasMore och CreatedOnOrAfter för inkrementell hämtning.
Valfritt returneras även makulerade/återkallade intyg via getCancelledFlag.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getconsentsforcareprovider.result","getconsentsforcareprovider.result","","","",1,1,"","","","BackboneElement {[]} {[]}
","Statusinformation för anropet","Statusinformation för anropet","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider.result",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getconsentsforcareprovider.result.id","getconsentsforcareprovider.result.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getconsentsforcareprovider.result.extension","getconsentsforcareprovider.result.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getconsentsforcareprovider.result.modifierExtension","getconsentsforcareprovider.result.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getconsentsforcareprovider.result.resultCode","getconsentsforcareprovider.result.resultCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Svarskod","Svarskod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-patientconsent/ValueSet/resultcode-vs","",,,,"getconsentsforcareprovider.result.resultCode",1,1,"",""
"getconsentsforcareprovider.result.resultText","getconsentsforcareprovider.result.resultText","","","",1,1,"","","","string {[]} {[]}
","Fritext beskrivning av resultatet","Fritext beskrivning av resultatet","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider.result.resultText",1,1,"",""
"getconsentsforcareprovider.moreOnOrAfter","getconsentsforcareprovider.moreOnOrAfter","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt från och med vilken nästa sekvens av intyg kan hämtas","Returneras alltid. Används som inparameter i nästa anrop vid HasMore = true.","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider.moreOnOrAfter",1,1,"",""
"getconsentsforcareprovider.hasMore","getconsentsforcareprovider.hasMore","","","",1,1,"","","","boolean {[]} {[]}
","Flagga om det finns fler intyg att hämta","Flagga om det finns fler intyg att hämta","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider.hasMore",1,1,"",""
"getconsentsforcareprovider.assertions","getconsentsforcareprovider.assertions","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med giltiga PDL-intyg","Lista med giltiga PDL-intyg","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider.assertions",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getconsentsforcareprovider.assertions.id","getconsentsforcareprovider.assertions.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getconsentsforcareprovider.assertions.extension","getconsentsforcareprovider.assertions.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
