"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"registerextendedconsent-request","registerextendedconsent-request","","","",0,*,"","","","null {[]} {[]}
","RegisterExtendedConsent — Request","Logisk modell för requestparametrar i RegisterExtendedConsent.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registerextendedconsent-request.assertionId","registerextendedconsent-request.assertionId","","","",1,1,"","","","Identifier {[]} {[]}
","Unik, global identifierare för intyget (UUID-format, max 36 tecken)","Tjänstekonsumenten ansvarar för att generera id:et.","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.assertionId",1,1,"",""
"registerextendedconsent-request.assertionType","registerextendedconsent-request.assertionType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Typ av intyg (Consent eller Emergency)","Anger om intyget är ett patientsamtycke eller nödsituationsintyg.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-patientconsent/ValueSet/assertiontype-vs","",,,,"registerextendedconsent-request.assertionType",1,1,"",""
"registerextendedconsent-request.scope","registerextendedconsent-request.scope","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Omfånget/tillämpningsområde på intyget","Omfånget/tillämpningsområde på intyget","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-patientconsent/ValueSet/scope-vs","",,,,"registerextendedconsent-request.scope",1,1,"",""
"registerextendedconsent-request.patientId","registerextendedconsent-request.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens personnummer alternativt samordningsnummer (max 12 tecken)","Patientens personnummer alternativt samordningsnummer (max 12 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.patientId",1,1,"",""
"registerextendedconsent-request.careProviderId","registerextendedconsent-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id på den vårdgivare som intyget gäller för/kopplas till (max 32 tecken)","HSA-id på den vårdgivare som intyget gäller för/kopplas till (max 32 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.careProviderId",1,1,"",""
"registerextendedconsent-request.careUnitId","registerextendedconsent-request.careUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id på den vårdenhet som intyget gäller för/kopplas till (max 32 tecken)","HSA-id på den vårdenhet som intyget gäller för/kopplas till (max 32 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.careUnitId",1,1,"",""
"registerextendedconsent-request.employeeId","registerextendedconsent-request.employeeId","","","",0,1,"","","","Identifier {[]} {[]}
","Medarbetar-id — anges om samtycket är personligt (max 32 tecken)","Om samtycket gäller all behörig personal på angiven vårdenhet, skall inget medarbetarid anges.","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.employeeId",0,1,"",""
"registerextendedconsent-request.startDate","registerextendedconsent-request.startDate","","","",0,1,"","","","dateTime {[]} {[]}
","Ej obligatoriskt startdatum för intygets giltighetstid","Om ett startdatum är angivet gäller intyget fr.o.m denna tidpunkt, annars gäller samtycket fr.o.m registreringstidpunkten.","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.startDate",0,1,"",""
"registerextendedconsent-request.endDate","registerextendedconsent-request.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Ej obligatoriskt slutdatum för intygets giltighetstid","Om ett slutdatum är angivet gäller intyget t.o.m denna tidpunkt. Om inget slutdatum anges gäller samtycket tills återkallat/makulerat.","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.endDate",0,1,"",""
"registerextendedconsent-request.representedBy","registerextendedconsent-request.representedBy","","","",0,1,"","","","Identifier {[]} {[]}
","Ej obligatorisk företrädare/vårdnadshavare som företräder patienten (max 12 tecken)","Ej obligatorisk företrädare/vårdnadshavare som företräder patienten (max 12 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.representedBy",0,1,"",""
