Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.ehr-patientconsent.json	11006	-	0	0	0	0	0	0	11	39	0	0	0	0	0	0	0	0	0	0	68	76	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-assertiontype-cs.json	743	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	62	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-resultcode-cs.json	1511	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	9	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-scope-cs.json	456	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	40	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cancelextendedconsent-request.json	6973	2	0	20	0	0	0	0	0	74	0	0	0	0	0	0	0	1	0	0	84	704	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-cancelextendedconsent.json	2912	1	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	154	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-checkconsent-request.json	3266	1	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	42	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-checkconsent.json	3898	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	43	83	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-deleteextendedconsent-request.json	6821	2	0	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	120	119	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-deleteextendedconsent.json	3074	1	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	101	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getconsentsforcareprovider-request.json	2832	1	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getconsentsforcareprovider.json	10336	3	0	17	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	104	159	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-getconsentsforpatient-request.json	2062	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	83	47	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-getconsentsforpatient.json	8470	2	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	70	96	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-getextendedconsentsforpatient-request.json	2621	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	52	0	0	0	0	0	0
