"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deletecareencounter-request","deletecareencounter-request","deletecareencounter-request","","","",0,*,"","","","null {[]} {[]}
","DeleteCareEncounter — Request","Logisk modell för requestparametrar i tjänstekontraktet DeleteCareEncounter
(RIV-TA urn:riv:followup:processdevelopment:infections:DeleteCareEncounter:1).
Raderar information som tidigare registrerats via ProcessCareEncounter.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deletecareencounter-request","deletecareencounter-request.careEncounterId","deletecareencounter-request.careEncounterId","","","",1,1,"","","","Identifier {[]} {[]}
","careEncounterId för den vårdkontakt som ska raderas","Root: Nationell OID för lokala id:n: 1.2.752.129.2.1.2.1
Extension: HSA-id för det system inom vilket careEncounterId är unikt + "":"" + ID.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deletecareencounter-request.careEncounterId",1,1,"",""
"deletecareencounter-response","deletecareencounter-response","deletecareencounter-response","","","",0,*,"","","","null {[]} {[]}
","DeleteCareEncounter — Response","Logisk modell för responsen från tjänstekontraktet DeleteCareEncounter
(RIV-TA urn:riv:followup:processdevelopment:infections:DeleteCareEncounter:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deletecareencounter-response","deletecareencounter-response.resultCode","deletecareencounter-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deletecareencounter-response.resultCode",1,1,"",""
"deletecareencounter-response","deletecareencounter-response.comment","deletecareencounter-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"deletecareencounter-response.comment",0,1,"",""
"deletelaboratoryreport-request","deletelaboratoryreport-request","deletelaboratoryreport-request","","","",0,*,"","","","null {[]} {[]}
","DeleteLaboratoryReport — Request","Logisk modell för requestparametrar i tjänstekontraktet DeleteLaboratoryReport
(RIV-TA urn:riv:followup:processdevelopment:infections:DeleteLaboratoryReport:1).
Raderar information som tidigare registrerats via ProcessLaboratoryReport.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deletelaboratoryreport-request","deletelaboratoryreport-request.laboratoryReportId","deletelaboratoryreport-request.laboratoryReportId","","","",1,1,"","","","Identifier {[]} {[]}
","Svars-id för det laboratoriesvar som ska raderas","Informationsspecifikation: Laboratoriesvar.svars-id
Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deletelaboratoryreport-request.laboratoryReportId",1,1,"",""
"deletelaboratoryreport-response","deletelaboratoryreport-response","deletelaboratoryreport-response","","","",0,*,"","","","null {[]} {[]}
","DeleteLaboratoryReport — Response","Logisk modell för responsen från tjänstekontraktet DeleteLaboratoryReport
(RIV-TA urn:riv:followup:processdevelopment:infections:DeleteLaboratoryReport:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deletelaboratoryreport-response","deletelaboratoryreport-response.resultCode","deletelaboratoryreport-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deletelaboratoryreport-response.resultCode",1,1,"",""
"deletelaboratoryreport-response","deletelaboratoryreport-response.comment","deletelaboratoryreport-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"deletelaboratoryreport-response.comment",0,1,"",""
"deleteprescription-request","deleteprescription-request","deleteprescription-request","","","",0,*,"","","","null {[]} {[]}
","DeletePrescription — Request","Logisk modell för requestparametrar i tjänstekontraktet DeletePrescription
(RIV-TA urn:riv:followup:processdevelopment:infections:DeletePrescription:1).
Raderar information om en ordination som tidigare registrerats via ProcessPrescriptionReason.
Ordinationsorsaken för ordinationen tas inte bort.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteprescription-request","deleteprescription-request.prescriptionId","deleteprescription-request.prescriptionId","","","",1,1,"","","","Identifier {[]} {[]}
","Ordinations-id för den ordination som ska raderas","Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deleteprescription-request.prescriptionId",1,1,"",""
"deleteprescription-response","deleteprescription-response","deleteprescription-response","","","",0,*,"","","","null {[]} {[]}
","DeletePrescription — Response","Logisk modell för responsen från tjänstekontraktet DeletePrescription
(RIV-TA urn:riv:followup:processdevelopment:infections:DeletePrescription:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteprescription-response","deleteprescription-response.resultCode","deleteprescription-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deleteprescription-response.resultCode",1,1,"",""
"deleteprescription-response","deleteprescription-response.comment","deleteprescription-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"deleteprescription-response.comment",0,1,"",""
"deleteprescriptionreason-request","deleteprescriptionreason-request","deleteprescriptionreason-request","","","",0,*,"","","","null {[]} {[]}
","DeletePrescriptionReason — Request","Logisk modell för requestparametrar i tjänstekontraktet DeletePrescriptionReason
(RIV-TA urn:riv:followup:processdevelopment:infections:DeletePrescriptionReason:1).
Raderar information som tidigare registrerats via ProcessPrescriptionReason.
Antingen activityId eller conditionId ska anges, men inte båda.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteprescriptionreason-request","deleteprescriptionreason-request.activityId","deleteprescriptionreason-request.activityId","","","",0,1,"","","","Identifier {[]} {[]}
","Aktivitets-id för den aktivitet som ska raderas (profylax)","Anges när den ordinationsorsak som ska raderas är en aktivitet (profylax).
Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Villkorlig — antingen activityId eller conditionId ska anges.","","","","","","","","","",,,,,"",,,,"deleteprescriptionreason-request.activityId",0,1,"",""
"deleteprescriptionreason-request","deleteprescriptionreason-request.conditionId","deleteprescriptionreason-request.conditionId","","","",0,1,"","","","Identifier {[]} {[]}
","Tillstånds-id för det tillstånd/diagnos som ska raderas (infektion)","Anges när den ordinationsorsak som ska raderas är ett tillstånd (infektion).
Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Villkorlig — antingen activityId eller conditionId ska anges.","","","","","","","","","",,,,,"",,,,"deleteprescriptionreason-request.conditionId",0,1,"",""
"deleteprescriptionreason-response","deleteprescriptionreason-response","deleteprescriptionreason-response","","","",0,*,"","","","null {[]} {[]}
","DeletePrescriptionReason — Response","Logisk modell för responsen från tjänstekontraktet DeletePrescriptionReason
(RIV-TA urn:riv:followup:processdevelopment:infections:DeletePrescriptionReason:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteprescriptionreason-response","deleteprescriptionreason-response.resultCode","deleteprescriptionreason-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deleteprescriptionreason-response.resultCode",1,1,"",""
