Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.followup-processdevelopment-infections.json	9240	-	0	0	0	0	0	0	10	34	0	0	0	0	0	0	0	0	0	0	256	103	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-deletecareencounter-request.json	2026	3	0	4	1	0	0	1	0	48	0	0	1	0	0	0	0	1	0	0	23	397	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-deletecareencounter-response.json	2184	2	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	155	63	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-deletelaboratoryreport-request.json	2036	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deletelaboratoryreport-response.json	2232	1	0	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	80	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-deleteprescription-request.json	2064	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteprescription-response.json	2168	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteprescriptionreason-request.json	2863	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteprescriptionreason-response.json	2264	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	46	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-processcareencounter-request.json	13197	4	0	33	0	0	0	0	0	38	0	0	0	0	0	0	0	1	0	0	438	196	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-processcareencounter-response.json	2200	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	40	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-processlaboratoryreport-request.json	5491	2	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	64	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-processlaboratoryreport-response.json	2248	1	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	181	38	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-processprescriptionreason-request.json	9357	3	0	10	0	0	0	0	0	61	0	0	0	0	0	0	0	1	0	0	59	76	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-processprescriptionreason-response.json	2360	1	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	33	0	0	0	0	0	0
/input/includes/menu.xml	757	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1247	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/3-tjanstedomanens-arkitektur.md	25646	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	2151	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/7-tjanstekontrakt.md	25874	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/6-gemensamma-informationskomponenter.md	95	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/2-versionsinformation.md	888	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
