"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getformdata-request","getformdata-request","getformdata-request","","","",0,*,"","","","null {[]} {[]}
","GetFormData — Request","Logisk modell för requestparametrar i GetFormData
(RIV-TA urn:riv:followup:qualityregistry:nkrr:GetFormData:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getformdata-request","getformdata-request.formId","getformdata-request.formId","","","",1,1,"","","","string {[]} {[]}
","Identifierare av mallen","Identifierare av mallen.","","","","","","","","","",,,,,"",,,,"getformdata-request.formId",1,1,"",""
"getformdata-request","getformdata-request.subjectOfCareId","getformdata-request.subjectOfCareId","","","",1,1,"","","","Identifier {[]} {[]}
","Identifierare av patienten","Identifierare av patienten.","","","","","","","","","",,,,,"",,,,"getformdata-request.subjectOfCareId",1,1,"",""
"getformdata-request","getformdata-request.careEncounterStartDate","getformdata-request.careEncounterStartDate","","","",0,1,"","","","string {[]} {[]}
","Datum för start av vårdhändelse","Datum för start av vårdhändelse (format: YYYYMMDD).
Tjänsteproducenter kan välja att komplettera denna beskrivning om användning av attributet
i en informationsspecifikation eller annan tillämpad specifikation.","","","","","","","","","",,,,,"",,,,"getformdata-request.careEncounterStartDate",0,1,"",""
"getformdata-request","getformdata-request.careEncounterEndDate","getformdata-request.careEncounterEndDate","","","",0,1,"","","","string {[]} {[]}
","Datum för slut av vårdhändelse","Datum för slut av vårdhändelse (format: YYYYMMDD).
Tjänsteproducenter kan välja att komplettera denna beskrivning om användning av attributet
i en informationsspecifikation eller annan tillämpad specifikation.","","","","","","","","","",,,,,"",,,,"getformdata-request.careEncounterEndDate",0,1,"",""
"getformdata-request","getformdata-request.careUnitHSAId","getformdata-request.careUnitHSAId","","","",0,*,"","","","Identifier {[]} {[]}
","Vårdenheter inom vilka underlag ska hämtas","Vårdenheter inom vilka underlag ska hämtas (HSA-ID).","","","","","","","","","",,,,,"",,,,"getformdata-request.careUnitHSAId",0,*,"",""
"getformdata-request","getformdata-request.employeeId","getformdata-request.employeeId","","","",0,1,"","","","Identifier {[]} {[]}
","Identifierare av medarbetare (HSA-ID)","Identifierare av medarbetare (HSA-ID).
Vid interaktivt förlopp (registrator loggar in) måste antingen employeeId eller
employeePersonId anges (R3 – Registrator måste anges).
I ett helautomatiserat förlopp efter en notifiering ska fälten inte anges.","","","","","","","","","",,,,,"",,,,"getformdata-request.employeeId",0,1,"",""
"getformdata-request","getformdata-request.employeePersonId","getformdata-request.employeePersonId","","","",0,1,"","","","string {[]} {[]}
","Medarbetares personnummer","Medarbetares personnummer. Anges med 12 tecken utan avskiljare.
Vid interaktivt förlopp (registrator loggar in) måste antingen employeeId eller
employeePersonId anges (R3 – Registrator måste anges).
I ett helautomatiserat förlopp efter en notifiering ska fälten inte anges.","","","","","","","","","",,,,,"",,,,"getformdata-request.employeePersonId",0,1,"",""
"getformdata","getformdata","getformdata","","","",0,*,"","","","null {[]} {[]}
","GetFormData","Logisk modell för tjänstekontraktet GetFormData
(RIV-TA urn:riv:followup:qualityregistry:nkrr:GetFormData:1).
Representerar responsens informationsstruktur.
GetFormData hämtar underlag för ett enskilt kvalitetsregisterformulär.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getformdata","getformdata.formElement","getformdata.formElement","","","",0,*,"","","","BackboneElement {[]} {[]}
","Svaret består av en lista med formulärets enskilda element","Svaret består av en lista med formulärets enskilda element.
Om ett givet formulär innehåller N frågor kan en konsument förvänta sig M answer-element
där M ≤ N (R1 – Flexibel ifyllnadsgrad).","","","","","","","","","",,,,,"",,,,"getformdata.formElement",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
