"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getterminologysubset","getterminologysubset","","","",0,*,"","","","null {[]} {[]}
","GetTerminologySubset","Logisk modell för tjänstekontraktet GetTerminologySubset
(RIV-TA urn:riv:informatics:terminology:GetTerminologySubset:1).
Representerar responsens informationsstruktur.

Tjänsten hämtar en delmängd (subset) av en terminologi (exempelvis SNOMED CT,
ICD-10, ATC-kodverket) som är användbar i ett visst sammanhang.
Stöder bl.a. dynamiskt urval av orsaker till antibiotikainsättning
som rapporteras till Infektionsregistret.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getterminologysubset.concept","getterminologysubset.concept","","","",0,*,"","","","BackboneElement {[]} {[]}
","Svaret består av en lista med begrepp","En lista med terminologibegrepp från det begärda urvalet.
Kardinalitet: Valfri, lista. Kan vara tom om urvalet saknar matchande begrepp.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getterminologysubset.concept.id","getterminologysubset.concept.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getterminologysubset.concept.extension","getterminologysubset.concept.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getterminologysubset.concept.modifierExtension","getterminologysubset.concept.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getterminologysubset.concept.codeSystem","getterminologysubset.concept.codeSystem","","","",1,1,"","","","string {[]} {[]}
","Identifierare av kodsystem","Identifierare för det kodsystem som begreppet tillhör (t.ex. ICD-10, SNOMED CT, ATC).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept.codeSystem",1,1,"",""
"getterminologysubset.concept.conceptCode","getterminologysubset.concept.conceptCode","","","",1,1,"","","","string {[]} {[]}
","Begreppskod","Begreppets kod i det angivna kodsystemet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept.conceptCode",1,1,"",""
"getterminologysubset.concept.term","getterminologysubset.concept.term","","","",1,1,"","","","string {[]} {[]}
","Term som beskriver begreppet","Visningsterm för begreppet (av den typ som angavs i TermType-parametern, normalt DisplayName).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept.term",1,1,"",""
"getterminologysubset.concept.metadata","getterminologysubset.concept.metadata","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med metadata","Ytterligare metadata som krävs för att veta vilka delar av OpenEHR-templaten
som skall fyllas i vid sändande av t.ex. ordinationsorsak till Infektionsverktyget.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept.metadata",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getterminologysubset.concept.metadata.id","getterminologysubset.concept.metadata.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getterminologysubset.concept.metadata.extension","getterminologysubset.concept.metadata.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getterminologysubset.concept.metadata.modifierExtension","getterminologysubset.concept.metadata.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getterminologysubset.concept.metadata.metadataName","getterminologysubset.concept.metadata.metadataName","","","",1,1,"","","","string {[]} {[]}
","Identifierar typ av metadata","Nyckel som identifierar typen av metadata.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept.metadata.metadataName",1,1,"",""
"getterminologysubset.concept.metadata.metadataValue","getterminologysubset.concept.metadata.metadataValue","","","",1,1,"","","","string {[]} {[]}
","Metadatavärde","Värdet för den angivna metadatatypen.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getterminologysubset.concept.metadata.metadataValue",1,1,"",""
