"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getcommissionmembers","getcommissionmembers","","","",0,*,"","","","null {[]} {[]}
","GetCommissionMembers","Logisk modell för tjänstekontraktet GetCommissionMembers
(RIV-TA urn:riv:infrastructure:directory:employee:GetCommissionMembers:3).
Representerar responsens informationsstruktur.
Är identisk med GetCommissionMembersIncludingProtectedPerson förutom att
skyddade personer aldrig returneras — fältet protectedPerson returneras alltså aldrig.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getcommissionmembers.personInformation","getcommissionmembers.personInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Information om personen","Information om personen. En person (ett HSA-id) returneras bara en gång
även om personen är medlem i flera matchande vårdmedarbetaruppdrag.
Skyddade personer returneras aldrig i detta kontrakt.
Kardinalitet: 0..*.","","","","","","","","","",,,,,"",,,,"getcommissionmembers.personInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getcommissionmembers.personInformation.id","getcommissionmembers.personInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getcommissionmembers.personInformation.extension","getcommissionmembers.personInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcommissionmembers.personInformation.modifierExtension","getcommissionmembers.personInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcommissionmembers.personInformation.personHsaId","getcommissionmembers.personInformation.personHsaId","","","",1,1,"","","","string {[]} {[]}
","Personens HSA-id","Personens HSA-id. Ref. HSA-id (hsaIdentity) [R5]. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getcommissionmembers.personInformation.personHsaId",1,1,"",""
"getcommissionmembers.personInformation.givenName","getcommissionmembers.personInformation.givenName","","","",0,1,"","","","string {[]} {[]}
","Tilltalsnamn","Tilltalsnamn","","","","","","","","","",,,,,"",,,,"getcommissionmembers.personInformation.givenName",0,1,"",""
"getcommissionmembers.personInformation.middleAndSurName","getcommissionmembers.personInformation.middleAndSurName","","","",1,1,"","","","string {[]} {[]}
","Mellan- och Efternamn","Mellan- och Efternamn","","","","","","","","","",,,,,"",,,,"getcommissionmembers.personInformation.middleAndSurName",1,1,"",""
"getcommissionmembers.personInformation.nickName","getcommissionmembers.personInformation.nickName","","","",0,1,"","","","string {[]} {[]}
","Smeknamn","Smeknamn","","","","","","","","","",,,,,"",,,,"getcommissionmembers.personInformation.nickName",0,1,"",""
"getcommissionmembers.personInformation.personStartDate","getcommissionmembers.personInformation.personStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för personens anställning","Startdatum för personens anställning","","","","","","","","","",,,,,"",,,,"getcommissionmembers.personInformation.personStartDate",0,1,"",""
