"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getemployeeincludingprotectedperson","getemployeeincludingprotectedperson","","","",0,*,"","","","null {[]} {[]}
","GetEmployeeIncludingProtectedPerson","Logisk modell för tjänstekontraktet GetEmployeeIncludingProtectedPerson
(RIV-TA urn:riv:infrastructure:directory:employee:GetEmployeeIncludingProtectedPerson:4).
Representerar responsens informationsstruktur (PersonInformationType).
Returnerar information om en angiven person inklusive skyddade personer.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getemployeeincludingprotectedperson.personInformation","getemployeeincludingprotectedperson.personInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Information om personen","Information om personen. Om personen har flera person-objekt returneras en instans per objekt.
Kardinalitet: 0..*.","","","","","","","","","",,,,,"",,,,"getemployeeincludingprotectedperson.personInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getemployeeincludingprotectedperson.personInformation.id","getemployeeincludingprotectedperson.personInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getemployeeincludingprotectedperson.personInformation.extension","getemployeeincludingprotectedperson.personInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getemployeeincludingprotectedperson.personInformation.modifierExtension","getemployeeincludingprotectedperson.personInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getemployeeincludingprotectedperson.personInformation.personHsaId","getemployeeincludingprotectedperson.personInformation.personHsaId","","","",1,1,"","","","string {[]} {[]}
","Personens HSA-id","Personens HSA-id. Ref. HSA-id (hsaIdentity) i Informationsspecifikationen [R5].
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getemployeeincludingprotectedperson.personInformation.personHsaId",1,1,"",""
"getemployeeincludingprotectedperson.personInformation.givenName","getemployeeincludingprotectedperson.personInformation.givenName","","","",0,1,"","","","string {[]} {[]}
","Tilltalsnamn","Tilltalsnamn. Endast ett litet antal personer saknar helt förnamn.
Ref. tilltalsnamn (givenName, gn) [R5]. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getemployeeincludingprotectedperson.personInformation.givenName",0,1,"",""
"getemployeeincludingprotectedperson.personInformation.middleAndSurName","getemployeeincludingprotectedperson.personInformation.middleAndSurName","","","",1,1,"","","","string {[]} {[]}
","Mellan- och Efternamn","Mellan- och Efternamn separerade med mellanslag.
Ref. mellannamn (middleName) [R5] / Ref. efternamn (sn, surName) [R5].
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getemployeeincludingprotectedperson.personInformation.middleAndSurName",1,1,"",""
"getemployeeincludingprotectedperson.personInformation.nickName","getemployeeincludingprotectedperson.personInformation.nickName","","","",0,1,"","","","string {[]} {[]}
","Smeknamn","Smeknamn. Används då tilltalsnamn inte är det namn personen vill använda.
Får ej användas för presentation, endast för sökning.
Ref. smeknamn (nickName) [R5]. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getemployeeincludingprotectedperson.personInformation.nickName",0,1,"",""
"getemployeeincludingprotectedperson.personInformation.mail","getemployeeincludingprotectedperson.personInformation.mail","","","",0,1,"","","","string {[]} {[]}
","E-postadress","E-postadress. Ref. e-postadress (mail) [R5]. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getemployeeincludingprotectedperson.personInformation.mail",0,1,"",""
