"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"createformrequest-request","createformrequest-request","","","",0,*,"","","","null {[]} {[]}
","CreateFormRequest — Request","Logisk modell för requestparametrar i CreateFormRequest.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"createformrequest-request.formRequests","createformrequest-request.formRequests","","","",1,*,"","","","BackboneElement {[]} {[]}
","Formulärbegäran (FormRequestType)","Lista med formulärbegäran att skapa.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"createformrequest-request.formRequests.id","createformrequest-request.formRequests.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"createformrequest-request.formRequests.extension","createformrequest-request.formRequests.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"createformrequest-request.formRequests.modifierExtension","createformrequest-request.formRequests.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"createformrequest-request.formRequests.healthcare-CareGiver","createformrequest-request.formRequests.healthcare_CareGiver","","","",0,1,"","","","Identifier {[]} {[]}
","Vårdenhetens HSA-id (vårdgivare)","Hsa-id vårdgivare (informationsägare).","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.healthcare_CareGiver",0,1,"",""
"createformrequest-request.formRequests.healthcare-MedUnit","createformrequest-request.formRequests.healthcare_MedUnit","","","",0,1,"","","","Identifier {[]} {[]}
","Medicinsk ansvarig enhet","Hsa-id medicinskt ansvarig (informationsägare).","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.healthcare_MedUnit",0,1,"",""
"createformrequest-request.formRequests.healthcare-Facility-CareUnit","createformrequest-request.formRequests.healthcare_Facility_CareUnit","","","",1,1,"","","","Identifier {[]} {[]}
","Vårdenhetens HSA-id","Hsa-id vårdenhet (informationsägare).","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.healthcare_Facility_CareUnit",1,1,"",""
"createformrequest-request.formRequests.healthcare-systemID","createformrequest-request.formRequests.healthcare_systemID","","","",0,1,"","","","Identifier {[]} {[]}
","System-id","Hsa-id vårdsystem.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.healthcare_systemID",0,1,"",""
"createformrequest-request.formRequests.subjectOfCare","createformrequest-request.formRequests.subjectOfCare","","","",0,1,"","","","Identifier {[]} {[]}
","Personnummer","Personnummer patient/invånare. Utelämnas hanteras formulär som anonymt.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.subjectOfCare",0,1,"",""
"createformrequest-request.formRequests.templateId","createformrequest-request.formRequests.templateId","","","",1,1,"","","","string {[]} {[]}
","Formulärmall-id","Formulärmall id.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.templateId",1,1,"",""
"createformrequest-request.formRequests.templateVersion","createformrequest-request.formRequests.templateVersion","","","",0,1,"","","","integer {[]} {[]}
","Mallversion","Formulärmall version.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.templateVersion",0,1,"",""
"createformrequest-request.formRequests.clinicalProcessInterestId","createformrequest-request.formRequests.clinicalProcessInterestId","","","",0,1,"","","","Identifier {[]} {[]}
","Hälsoärende-id","Hälsoärende id.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.clinicalProcessInterestId",0,1,"",""
"createformrequest-request.formRequests.formText","createformrequest-request.formRequests.formText","","","",0,1,"","","","string {[]} {[]}
","Formulärtext","Formulärtext för formulärbegäran.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.formText",0,1,"",""
"createformrequest-request.formRequests.expireDate","createformrequest-request.formRequests.expireDate","","","",1,1,"","","","string {[]} {[]}
","Utgångsdatum","Datum för att reglera hur länge patient/invånaren kan besvara formulär.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.expireDate",1,1,"",""
"createformrequest-request.formRequests.keepUntil","createformrequest-request.formRequests.keepUntil","","","",1,1,"","","","string {[]} {[]}
","Bevaras till","Datum för hur länge formulär lagras innan gallring/arkivering. Tomt indikerar tillsvidare.","","","","","","","","","",,,,,"",,,,"createformrequest-request.formRequests.keepUntil",1,1,"",""
