"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getconcepts-request","getconcepts-request","getconcepts-request","","","",0,*,"","","","null {[]} {[]}
","GetConcepts — Request","Logisk modell för begäran i GetConcepts
(urn:riv:infrastructure:informationstructureservice:terminology:GetConceptsResponder:1, GetConceptsRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getconcepts-request","getconcepts-request.logicalAddress","getconcepts-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. HSA-id for the entity responsible for the subset","","","","","","","","","",,,,,"",,,,"getconcepts-request.logicalAddress",1,1,"",""
"getconcepts-request","getconcepts-request.SubsetIdentity","getconcepts-request.SubsetIdentity","","","",1,1,"","","","string {[]} {[]}
","SubsetIdentity","Identifierare som representerar urvalet","","","","","","","","","",,,,,"",,,,"getconcepts-request.SubsetIdentity",1,1,"",""
"getconcepts-request","getconcepts-request.LocalOrganizationExtensionId","getconcepts-request.LocalOrganizationExtensionId","","","",0,1,"","","","string {[]} {[]}
","LocalOrganizationExtensionId","Id för system eller organisation","","","","","","","","","",,,,,"",,,,"getconcepts-request.LocalOrganizationExtensionId",0,1,"",""
"getconcepts-request","getconcepts-request.CodeSystem","getconcepts-request.CodeSystem","","","",0,1,"","","","string {[]} {[]}
","CodeSystem","Kodsystem som sökt concept tillhör","","","","","","","","","",,,,,"",,,,"getconcepts-request.CodeSystem",0,1,"",""
"getconcepts-request","getconcepts-request.Code","getconcepts-request.Code","","","",0,1,"","","","string {[]} {[]}
","Code","Kod för sökt concept","","","","","","","","","",,,,,"",,,,"getconcepts-request.Code",0,1,"",""
"getconcepts-request","getconcepts-request.Term","getconcepts-request.Term","","","",0,1,"","","","string {[]} {[]}
","Term","Term för sökt concept","","","","","","","","","",,,,,"",,,,"getconcepts-request.Term",0,1,"",""
"getconcepts-request","getconcepts-request.ConceptsResponseThreshold","getconcepts-request.ConceptsResponseThreshold","","","",0,1,"","","","integer {[]} {[]}
","ConceptsResponseThreshold","Antal concepts som maximalt returneras i svaret","","","","","","","","","",,,,,"",,,,"getconcepts-request.ConceptsResponseThreshold",0,1,"",""
"getconcepts-request","getconcepts-request.TermType","getconcepts-request.TermType","","","",1,1,"","","","string {[]} {[]}
","TermType","Type of term","","","","","","","","","",,,,,"",,,,"getconcepts-request.TermType",1,1,"",""
"getconcepts","getconcepts","getconcepts","","","",0,*,"","","","null {[]} {[]}
","GetConcepts — Response","Logisk modell för svaret i GetConcepts
(urn:riv:infrastructure:informationstructureservice:terminology:GetConceptsResponder:1, GetConceptsResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
