"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getformtemplate","getformtemplate","","","",0,*,"","","","null {[]} {[]}
","GetFormTemplate","Logisk modell för svar (response) i tjänstekontraktet GetFormTemplate
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:GetFormTemplate:2).
Returnerar komplett formulärmall inkl. alla sidor, frågegrupperingar och frågor.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getformtemplate.formTemplate","getformtemplate.formTemplate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Formulärmall (FormTemplate — komplett med sidor)","Komplett formulärmall. Saknas mallen returneras tomt svar.","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getformtemplate.formTemplate.id","getformtemplate.formTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getformtemplate.formTemplate.extension","getformtemplate.formTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getformtemplate.formTemplate.modifierExtension","getformtemplate.formTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getformtemplate.formTemplate.templateId","getformtemplate.formTemplate.templateId","","","",1,1,"","","","string {[]} {[]}
","Mallens typ-id","Mallens typ-id","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.templateId",1,1,"",""
"getformtemplate.formTemplate.templateVersion","getformtemplate.formTemplate.templateVersion","","","",1,1,"","","","string {[]} {[]}
","Mallens version","Mallens version","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.templateVersion",1,1,"",""
"getformtemplate.formTemplate.formName","getformtemplate.formTemplate.formName","","","",1,1,"","","","string {[]} {[]}
","Mallens namn","Mallens namn","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.formName",1,1,"",""
"getformtemplate.formTemplate.formTitle","getformtemplate.formTemplate.formTitle","","","",0,1,"","","","string {[]} {[]}
","Mallens rubrik","Mallens rubrik","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.formTitle",0,1,"",""
"getformtemplate.formTemplate.description","getformtemplate.formTemplate.description","","","",0,1,"","","","string {[]} {[]}
","Formulärets beskrivning och instruktioner","Formulärets beskrivning och instruktioner","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.description",0,1,"",""
"getformtemplate.formTemplate.descriptionInternal","getformtemplate.formTemplate.descriptionInternal","","","",0,1,"","","","string {[]} {[]}
","Beskrivning avsedd för personal","Beskrivning avsedd för personal","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.descriptionInternal",0,1,"",""
"getformtemplate.formTemplate.category","getformtemplate.formTemplate.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Formulärets kategori","Formulärets kategori","","","","","","","","","",,"required","","https://fhir.inera.se/ig/infrastructure-supportservices-forminteraction/ValueSet/formcategory-vs","",,,,"getformtemplate.formTemplate.category",1,1,"",""
"getformtemplate.formTemplate.publishStatus","getformtemplate.formTemplate.publishStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Publiceringsstatus","Publiceringsstatus","","","","","","","","","",,"required","","https://fhir.inera.se/ig/infrastructure-supportservices-forminteraction/ValueSet/publishstatus-vs","",,,,"getformtemplate.formTemplate.publishStatus",1,1,"",""
"getformtemplate.formTemplate.mandatory","getformtemplate.formTemplate.mandatory","","","",1,1,"","","","boolean {[]} {[]}
","Om formuläret är obligatoriskt","Om formuläret är obligatoriskt","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.mandatory",1,1,"",""
"getformtemplate.formTemplate.formLanguage","getformtemplate.formTemplate.formLanguage","","","",1,1,"","","","string {[]} {[]}
","Språkkod (SS-ISO 639-1:2005)","Språkkod (SS-ISO 639-1:2005)","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.formLanguage",1,1,"",""
"getformtemplate.formTemplate.anonymousForm","getformtemplate.formTemplate.anonymousForm","","","",0,1,"","","","boolean {[]} {[]}
","Om formuläret tillåter anonym användning","Om formuläret tillåter anonym användning","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.anonymousForm",0,1,"",""
"getformtemplate.formTemplate.term","getformtemplate.formTemplate.term","","","",1,1,"","","","string {[]} {[]}
","Villkorstext","Villkorstext","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.term",1,1,"",""
"getformtemplate.formTemplate.informationURL","getformtemplate.formTemplate.informationURL","","","",0,1,"","","","url {[]} {[]}
","URL till ytterligare information","URL till ytterligare information","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.informationURL",0,1,"",""
"getformtemplate.formTemplate.healthcareFacilityUnit","getformtemplate.formTemplate.healthcareFacilityUnit","","","",1,1,"","","","string {[]} {[]}
","HSA-id för mallens ägare","HSA-id för mallens ägare","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.healthcareFacilityUnit",1,1,"",""
"getformtemplate.formTemplate.maxNumberOfPages","getformtemplate.formTemplate.maxNumberOfPages","","","",1,1,"","","","integer {[]} {[]}
","Maximalt antal sidor","Maximalt antal sidor","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.maxNumberOfPages",1,1,"",""
"getformtemplate.formTemplate.minNumberOfPages","getformtemplate.formTemplate.minNumberOfPages","","","",1,1,"","","","integer {[]} {[]}
","Minimalt antal sidor","Minimalt antal sidor","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.minNumberOfPages",1,1,"",""
"getformtemplate.formTemplate.maxNumberOfQuestion","getformtemplate.formTemplate.maxNumberOfQuestion","","","",1,1,"","","","integer {[]} {[]}
","Maximalt antal frågor","Maximalt antal frågor","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.maxNumberOfQuestion",1,1,"",""
"getformtemplate.formTemplate.minNumberOfQuestion","getformtemplate.formTemplate.minNumberOfQuestion","","","",1,1,"","","","integer {[]} {[]}
","Minimalt antal frågor","Minimalt antal frågor","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.minNumberOfQuestion",1,1,"",""
"getformtemplate.formTemplate.templatePropagate","getformtemplate.formTemplate.templatePropagate","","","",0,*,"","","","BackboneElement {[]} {[]}
","Malldelning (om mallen delas)","Malldelning (om mallen delas)","","","","","","","","","",,,,,"",,,,"getformtemplate.formTemplate.templatePropagate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getformtemplate.formTemplate.templatePropagate.id","getformtemplate.formTemplate.templatePropagate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getformtemplate.formTemplate.templatePropagate.extension","getformtemplate.formTemplate.templatePropagate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getformtemplate.formTemplate.templatePropagate.modifierExtension","getformtemplate.formTemplate.templatePropagate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
