"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"saveformtemplate-request","saveformtemplate-request","","","",0,*,"","","","null {[]} {[]}
","SaveFormTemplate — Request","Logisk modell för requestparametrar i SaveFormTemplate
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:SaveFormTemplate:2).
Sparar en formulärmall hos tjänsteproducenten.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"saveformtemplate-request.formTemplate","saveformtemplate-request.formTemplate","","","",1,1,"","","","BackboneElement {[]} {[]}
","Formulärmallen som skall sparas (FormTemplate)","Komplett formulärmall med sidor och frågor. Se GetFormTemplate för detaljerad struktur.","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"saveformtemplate-request.formTemplate.id","saveformtemplate-request.formTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"saveformtemplate-request.formTemplate.extension","saveformtemplate-request.formTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"saveformtemplate-request.formTemplate.modifierExtension","saveformtemplate-request.formTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"saveformtemplate-request.formTemplate.templateId","saveformtemplate-request.formTemplate.templateId","","","",1,1,"","","","string {[]} {[]}
","Mallens typ-id","Mallens typ-id","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.templateId",1,1,"",""
"saveformtemplate-request.formTemplate.templateVersion","saveformtemplate-request.formTemplate.templateVersion","","","",1,1,"","","","string {[]} {[]}
","Mallens version","Mallens version","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.templateVersion",1,1,"",""
"saveformtemplate-request.formTemplate.formName","saveformtemplate-request.formTemplate.formName","","","",1,1,"","","","string {[]} {[]}
","Mallens namn","Mallens namn","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.formName",1,1,"",""
"saveformtemplate-request.formTemplate.formTitle","saveformtemplate-request.formTemplate.formTitle","","","",0,1,"","","","string {[]} {[]}
","Mallens rubrik","Mallens rubrik","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.formTitle",0,1,"",""
"saveformtemplate-request.formTemplate.description","saveformtemplate-request.formTemplate.description","","","",0,1,"","","","string {[]} {[]}
","Formulärets beskrivning","Formulärets beskrivning","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.description",0,1,"",""
"saveformtemplate-request.formTemplate.descriptionInternal","saveformtemplate-request.formTemplate.descriptionInternal","","","",0,1,"","","","string {[]} {[]}
","Intern beskrivning för personal","Intern beskrivning för personal","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.descriptionInternal",0,1,"",""
"saveformtemplate-request.formTemplate.category","saveformtemplate-request.formTemplate.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Formulärets kategori","Formulärets kategori","","","","","","","","","",,"required","","https://fhir.inera.se/ig/infrastructure-supportservices-forminteraction/ValueSet/formcategory-vs","",,,,"saveformtemplate-request.formTemplate.category",1,1,"",""
"saveformtemplate-request.formTemplate.publishStatus","saveformtemplate-request.formTemplate.publishStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Publiceringsstatus","Publiceringsstatus","","","","","","","","","",,"required","","https://fhir.inera.se/ig/infrastructure-supportservices-forminteraction/ValueSet/publishstatus-vs","",,,,"saveformtemplate-request.formTemplate.publishStatus",1,1,"",""
"saveformtemplate-request.formTemplate.mandatory","saveformtemplate-request.formTemplate.mandatory","","","",1,1,"","","","boolean {[]} {[]}
","Om formuläret är obligatoriskt","Om formuläret är obligatoriskt","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.mandatory",1,1,"",""
"saveformtemplate-request.formTemplate.formLanguage","saveformtemplate-request.formTemplate.formLanguage","","","",1,1,"","","","string {[]} {[]}
","Språkkod","Språkkod","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.formLanguage",1,1,"",""
"saveformtemplate-request.formTemplate.anonymousForm","saveformtemplate-request.formTemplate.anonymousForm","","","",0,1,"","","","boolean {[]} {[]}
","Om formuläret tillåter anonym användning","Om formuläret tillåter anonym användning","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.anonymousForm",0,1,"",""
"saveformtemplate-request.formTemplate.healthcareFacilityUnit","saveformtemplate-request.formTemplate.healthcareFacilityUnit","","","",1,1,"","","","string {[]} {[]}
","HSA-id för mallens ägare","HSA-id för mallens ägare","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.healthcareFacilityUnit",1,1,"",""
"saveformtemplate-request.formTemplate.pages","saveformtemplate-request.formTemplate.pages","","","",0,*,"","","","BackboneElement {[]} {[]}
","Sidor i mallen","Sidor i mallen","","","","","","","","","",,,,,"",,,,"saveformtemplate-request.formTemplate.pages",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"saveformtemplate-request.formTemplate.pages.id","saveformtemplate-request.formTemplate.pages.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"saveformtemplate-request.formTemplate.pages.extension","saveformtemplate-request.formTemplate.pages.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
