"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getcertificate","getcertificate","","","",0,*,"","","","null {[]} {[]}
","GetCertificate","Logisk modell för responsens informationsstruktur i tjänstekontraktet GetCertificate
(RIV-TA urn:riv:insuranceprocess:healthreporting:GetCertificate:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getcertificate.certificateMeta","getcertificate.certificateMeta","","","",0,1,"","","","BackboneElement {[]} {[]}
","Metadata om intyget","Metadata om intyget","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getcertificate.certificateMeta.id","getcertificate.certificateMeta.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getcertificate.certificateMeta.extension","getcertificate.certificateMeta.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcertificate.certificateMeta.modifierExtension","getcertificate.certificateMeta.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcertificate.certificateMeta.certificateId","getcertificate.certificateMeta.certificateId","","","",0,1,"","","","string {[]} {[]}
","Identitet på intyget (GUID)","Identitet på intyget (GUID)","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.certificateId",0,1,"",""
"getcertificate.certificateMeta.certificateType","getcertificate.certificateMeta.certificateType","","","",0,1,"","","","string {[]} {[]}
","Typ av intyg","Typ av intyg","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.certificateType",0,1,"",""
"getcertificate.certificateMeta.validFrom","getcertificate.certificateMeta.validFrom","","","",0,1,"","","","date {[]} {[]}
","Startdatum för sjukskrivningsperioden","Startdatum för sjukskrivningsperioden","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.validFrom",0,1,"",""
"getcertificate.certificateMeta.validTo","getcertificate.certificateMeta.validTo","","","",0,1,"","","","date {[]} {[]}
","Slutdatum för sjukskrivningsperioden","Slutdatum för sjukskrivningsperioden","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.validTo",0,1,"",""
"getcertificate.certificateMeta.issuerName","getcertificate.certificateMeta.issuerName","","","",0,1,"","","","string {[]} {[]}
","Namn för Hos-person som utfärdat intyget","Namn för Hos-person som utfärdat intyget","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.issuerName",0,1,"",""
"getcertificate.certificateMeta.facilityName","getcertificate.certificateMeta.facilityName","","","",0,1,"","","","string {[]} {[]}
","Namn på Hos-vårdenhet där intyget utfärdats","Namn på Hos-vårdenhet där intyget utfärdats","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.facilityName",0,1,"",""
"getcertificate.certificateMeta.signDate","getcertificate.certificateMeta.signDate","","","",0,1,"","","","dateTime {[]} {[]}
","Datum och tid när intyget signerades","Datum och tid när intyget signerades","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.signDate",0,1,"",""
"getcertificate.certificateMeta.available","getcertificate.certificateMeta.available","","","",0,1,"","","","string {[]} {[]}
","Om intyget är tillgängligt","Om intyget är tillgängligt","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.available",0,1,"",""
"getcertificate.certificateMeta.certificateStatus","getcertificate.certificateMeta.certificateStatus","","","",0,*,"","","","BackboneElement {[]} {[]}
","Statustyper för olika mottagare","Statustyper för olika mottagare","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.certificateStatus",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getcertificate.certificateMeta.certificateStatus.id","getcertificate.certificateMeta.certificateStatus.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getcertificate.certificateMeta.certificateStatus.extension","getcertificate.certificateMeta.certificateStatus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcertificate.certificateMeta.certificateStatus.modifierExtension","getcertificate.certificateMeta.certificateStatus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcertificate.certificateMeta.certificateStatus.target","getcertificate.certificateMeta.certificateStatus.target","","","",0,1,"","","","string {[]} {[]}
","Mottagare för en status (t.ex. FK)","Mottagare för en status (t.ex. FK)","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.certificateStatus.target",0,1,"",""
"getcertificate.certificateMeta.certificateStatus.certificateStatusType","getcertificate.certificateMeta.certificateStatus.certificateStatusType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Typ av statusändring för intyget","Typ av statusändring för intyget","","","","","","","","","",,"extensible","","https://fhir.inera.se/ig/insuranceprocess-healthreporting/ValueSet/status-vs","",,,,"getcertificate.certificateMeta.certificateStatus.certificateStatusType",0,1,"",""
"getcertificate.certificateMeta.certificateStatus.timestamp","getcertificate.certificateMeta.certificateStatus.timestamp","","","",0,1,"","","","dateTime {[]} {[]}
","När statusen sattes","När statusen sattes","","","","","","","","","",,,,,"",,,,"getcertificate.certificateMeta.certificateStatus.timestamp",0,1,"",""
"getcertificate.certificate","getcertificate.certificate","","","",0,1,"","","","string {[]} {[]}
","Platshållare för intyget (generisk, se meta.certificateType för typ)","ASSUME: Intyget är generiskt XML - mappat till string i avvaktan på formell FHIR-modell.
Se QUESTIONS.md ASSUME-HR-002.","","","","","","","","","",,,,,"",,,,"getcertificate.certificate",0,1,"",""
"getcertificate.result","getcertificate.result","","","",0,1,"","","","BackboneElement {[]} {[]}
","Resultatinformation","Resultatinformation","","","","","","","","","",,,,,"",,,,"getcertificate.result",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getcertificate.result.id","getcertificate.result.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getcertificate.result.extension","getcertificate.result.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcertificate.result.modifierExtension","getcertificate.result.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcertificate.result.resultCode","getcertificate.result.resultCode","","","",0,1,"","","","string {[]} {[]}
","Resultatkod (OK, ERROR, INFO)","Resultatkod (OK, ERROR, INFO)","","","","","","","","","",,,,,"",,,,"getcertificate.result.resultCode",0,1,"",""
"getcertificate.result.infoText","getcertificate.result.infoText","","","",0,1,"","","","string {[]} {[]}
","Extra information om anropets utgång","Extra information om anropets utgång","","","","","","","","","",,,,,"",,,,"getcertificate.result.infoText",0,1,"",""
"getcertificate.result.errorId","getcertificate.result.errorId","","","",0,1,"","","","string {[]} {[]}
","Felkategori","Felkategori","","","","","","","","","",,,,,"",,,,"getcertificate.result.errorId",0,1,"",""
"getcertificate.result.errorText","getcertificate.result.errorText","","","",0,1,"","","","string {[]} {[]}
","Beskrivande text för felet","Beskrivande text för felet","","","","","","","","","",,,,,"",,,,"getcertificate.result.errorText",0,1,"",""
