"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"registermedicalcertificate-request","registermedicalcertificate-request","","","",0,*,"","","","null {[]} {[]}
","RegisterMedicalCertificate — Request","Logisk modell för requestparametrar i tjänstekontraktet RegisterMedicalCertificate
(RIV-TA urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3).
Skickar ett komplett läkarintyg FK7263.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registermedicalcertificate-request.lakarutlatandeId","registermedicalcertificate-request.lakarutlatandeId","","","",1,1,"","","","string {[]} {[]}
","Identitet på läkarintyget (GUID)","Unik identifierare för läkarintyget. Är en GUID.
Fält: lakarutlatande.lakarutlatande-id. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.lakarutlatandeId",1,1,"",""
"registermedicalcertificate-request.typAvUtlatande","registermedicalcertificate-request.typAvUtlatande","","","",1,1,"","","","string {[]} {[]}
","Typ av utlåtande","Fix text: 'Läkarintyg enligt 3 kap, 8 § lagen (1962:381) om allmän försäkring'.
Fält: lakarutlatande.typAvUtlatande. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.typAvUtlatande",1,1,"",""
"registermedicalcertificate-request.kommentar","registermedicalcertificate-request.kommentar","","","",0,1,"","","","string {[]} {[]}
","Extra upplysningar i fritext (Fält 13)","Extra upplysningar i fritext. Fält 13 på blanketten.
Villkorligt: obligatoriskt om Prognosangivelse=DET_GAR_INTE_ATT_BEDOMMA eller Referenstyp=Annat.
Fält: lakarutlatande.kommentar. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.kommentar",0,1,"",""
"registermedicalcertificate-request.signeringsdatum","registermedicalcertificate-request.signeringsdatum","","","",1,1,"","","","dateTime {[]} {[]}
","När läkarintyget signerades (Fält 14)","Datum och tid för signering. Fält 14 på blanketten.
Fält: lakarutlatande.signeringsdatum. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.signeringsdatum",1,1,"",""
"registermedicalcertificate-request.skickatdatum","registermedicalcertificate-request.skickatdatum","","","",1,1,"","","","dateTime {[]} {[]}
","När läkarintyget skickades till FK","Datum och tid för utskick till Försäkringskassan.
Fält: lakarutlatande.skickatdatum. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.skickatdatum",1,1,"",""
"registermedicalcertificate-request.patient","registermedicalcertificate-request.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patienten","Patienten","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registermedicalcertificate-request.patient.id","registermedicalcertificate-request.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"registermedicalcertificate-request.patient.extension","registermedicalcertificate-request.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registermedicalcertificate-request.patient.modifierExtension","registermedicalcertificate-request.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registermedicalcertificate-request.patient.personId","registermedicalcertificate-request.patient.personId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens personnummer eller samordningsnummer","Patientens personnummer eller samordningsnummer.
Fält: lakarutlatande.patient.person-id. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.patient.personId",1,1,"",""
"registermedicalcertificate-request.patient.fullstandigtNamn","registermedicalcertificate-request.patient.fullstandigtNamn","","","",1,1,"","","","string {[]} {[]}
","Patientens hela namn","Fält: lakarutlatande.patient.fullstandigtNamn. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.patient.fullstandigtNamn",1,1,"",""
"registermedicalcertificate-request.skapadAvHosPersonal","registermedicalcertificate-request.skapadAvHosPersonal","","","",1,1,"","","","BackboneElement {[]} {[]}
","Vårdpersonal som utfärdar läkarintyget","Vårdpersonal som utfärdar läkarintyget","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.skapadAvHosPersonal",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registermedicalcertificate-request.skapadAvHosPersonal.id","registermedicalcertificate-request.skapadAvHosPersonal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"registermedicalcertificate-request.skapadAvHosPersonal.extension","registermedicalcertificate-request.skapadAvHosPersonal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registermedicalcertificate-request.skapadAvHosPersonal.modifierExtension","registermedicalcertificate-request.skapadAvHosPersonal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registermedicalcertificate-request.skapadAvHosPersonal.personalId","registermedicalcertificate-request.skapadAvHosPersonal.personalId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-Id för Hos-person som utfärdar läkarintyget","system = urn:oid:1.2.752.129.2.1.4.1 (HSA-ID).
Fält: lakarutlatande.skapadAvHosPersonal.personal-id. Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.skapadAvHosPersonal.personalId",1,1,"",""
"registermedicalcertificate-request.skapadAvHosPersonal.forskrivarkod","registermedicalcertificate-request.skapadAvHosPersonal.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","Förskrivarkod för Hos-person","Förskrivarkod för Hos-person","","","","","","","","","",,,,,"",,,,"registermedicalcertificate-request.skapadAvHosPersonal.forskrivarkod",0,1,"",""
