Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.insuranceprocess-healthreporting.json	18918	-	0	0	0	0	0	0	17	44	0	0	0	0	0	0	0	1	0	0	139	189	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-aktivitetskod-cs.json	2535	3	0	0	2	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	18	106	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-amne-cs.json	711	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	53	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nedsattningsgrad-cs.json	1007	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-referenstyp-cs.json	631	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	7	57	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-status-cs.json	822	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-vardkontakttyp-cs.json	736	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	40	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteanswers-request.json	2464	1	0	7	0	0	0	0	0	61	0	0	1	0	0	0	0	1	0	0	32	413	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-deleteanswers.json	2840	4	0	12	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	48	119	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-deletequestions-request.json	2520	1	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	89	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-deletequestions.json	2884	2	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	45	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-findallanswers-request.json	2065	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-findallanswers.json	5004	5	0	16	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	93	142	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-findallquestions-request.json	2099	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	62	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-findallquestions.json	5150	2	0	21	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	88	180	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-getcertificate-request.json	2239	1	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	60	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-getcertificate.json	8399	2	0	23	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	92	155	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-listcertificates-request.json	3456	1	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	57	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-listcertificates.json	8049	1	0	17	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	84	148	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-receivemedicalcertificateanswer-request.json	15375	5	0	40	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	176	224	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-receivemedicalcertificateanswer.json	3236	1	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	35	55	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-receivemedicalcertificatequestion-request.json	16019	4	0	42	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	176	222	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-receivemedicalcertificatequestion.json	3280	1	0	8	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	34	59	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-registermedicalcertificate-request.json	25530	5	0	48	0	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	271	295	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-registermedicalcertificate.json	3280	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	53	1	0	0	2	0	0
fsh-generated/resources/StructureDefinition-revokemedicalcertificate-request.json	10894	3	0	24	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	135	158	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-revokemedicalcertificate.json	3082	2	0	7	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	42	52	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-sendmedicalcertificate-request.json	11294	2	0	26	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	132	142	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-sendmedicalcertificate.json	3038	1	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	55	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-sendmedicalcertificateanswer-request.json	14126	4	0	27	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	154	165	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-sendmedicalcertificateanswer.json	3170	1	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	53	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-sendmedicalcertificatequestion-request.json	12848	3	0	27	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	143	175	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-sendmedicalcertificatequestion.json	3214	1	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	40	54	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-setcertificatestatus-request.json	3690	2	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	52	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-setcertificatestatus.json	2994	1	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	37	50	0	0	0	2	0	0
fsh-generated/resources/ValueSet-aktivitetskod-vs.json	465	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	7	60	0	0	0	1	0	0
fsh-generated/resources/ValueSet-amne-vs.json	413	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	5	34	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nedsattningsgrad-vs.json	502	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	29	0	0	0	0	0	1
fsh-generated/resources/ValueSet-referenstyp-vs.json	457	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	30	0	0	0	1	0	0
fsh-generated/resources/ValueSet-status-vs.json	414	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	29	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vardkontakttyp-vs.json	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	29	0	0	0	0	0	0
/input/includes/menu.xml	757	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2813	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/6-gemensamma-informationskomponenter.md	95	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/3-tjanstedomanens-arkitektur.md	89	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/4-tjanstedomanens-krav-och-regler.md	4495	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/1-inledning.md	2522	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/7-tjanstekontrakt.md	63950	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
/input/pagecontent/5-tjanstedomanens-meddelandemodeller.md	7385	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2544	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/2-versionsinformation.md	1748	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_009.png	191559	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_008.png	255026	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_001.jpeg	19344	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_005.jpeg	143477	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/img_004.jpeg	185046	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_003.png	172755	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_011.jpeg	29386	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_010.jpeg	40783	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_002.jpeg	113889	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_007.jpeg	67126	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_006.jpeg	55148	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	21671	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
