"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lookupresidentforfullprofile","lookupresidentforfullprofile","","","",0,*,"","","","null {[]} {[]}
","LookupResidentForFullProfile","Logisk modell för svaret från tjänstekontraktet LookupResidentForFullProfile
(RIV-TA urn:riv:population:residentmaster:LookupResidentForFullProfileResponder:1).
Representerar en post (ResidentType, fullständig profil ""Full"") i svarets lista av
träffar. Svaret som helhet innehåller 0..* sådana poster, en per efterfrågat och
matchat personnummer (se avsnitt 7). Fält som inte ingår i den aktuella profilen
utelämnas normalt inte i denna modell (den täcker hela ResidentType-bruttolistan),
men kan i ett faktiskt svar sakna värde eftersom endast Full-profilens fält (se
avsnitt 6.1) faktiskt populeras av producenten.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lookupresidentforfullprofile.residentSekretessmarkering","lookupresidentforfullprofile.residentSekretessmarkering","","","",1,1,"","","","boolean {[]} {[]}
","Sekretessmarkering","true = personen har sekretessmarkering (J), false = personen har inte
sekretessmarkering (N). Poster med sekretessmarkering innehåller normalt inte
annan information än personnummer och detta fält.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"lookupresidentforfullprofile.residentSekretessmarkering",1,1,"",""
"lookupresidentforfullprofile.senasteAndringFolkbokforing","lookupresidentforfullprofile.senasteAndringFolkbokforing","","","",0,1,"","","","date {[]} {[]}
","Senaste ändring i folkbokföringen","Datum när personen uppdaterades senast i folkbokföringen.","","","","","","","","","",,,,,"",,,,"lookupresidentforfullprofile.senasteAndringFolkbokforing",0,1,"",""
"lookupresidentforfullprofile.personPost","lookupresidentforfullprofile.personPost","","","",1,1,"","","","BackboneElement {[]} {[]}
","Personpost","Personpost","","","","","","","","","",,,,,"",,,,"lookupresidentforfullprofile.personPost",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"lookupresidentforfullprofile.personPost.id","lookupresidentforfullprofile.personPost.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"lookupresidentforfullprofile.personPost.extension","lookupresidentforfullprofile.personPost.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"lookupresidentforfullprofile.personPost.modifierExtension","lookupresidentforfullprofile.personPost.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"lookupresidentforfullprofile.personPost.personId","lookupresidentforfullprofile.personPost.personId","","","",1,1,"","","","Identifier {[]} {[]}
","Personnummer/samordningsnummer/reservnummer","value = personnummer på formatet ÅÅÅÅMMDDNNNN, eller (för regional/lokal
tjänstekonsument) ett reservnummer enligt aktuellt reservnummerkodverk.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"lookupresidentforfullprofile.personPost.personId",1,1,"",""
"lookupresidentforfullprofile.personPost.personKon","lookupresidentforfullprofile.personPost.personKon","","","",0,1,"","","","code {[]} {[]}
","Kön","Kön","","","","","","","","","",,"required","","https://fhir.inera.se/ig/population-residentmaster/ValueSet/kon-vs","",,,,"lookupresidentforfullprofile.personPost.personKon",0,1,"",""
"lookupresidentforfullprofile.personPost.personFodelsetid","lookupresidentforfullprofile.personPost.personFodelsetid","","","",0,1,"","","","date {[]} {[]}
","Födelsetid","Kan saknas för personer utan fastställd födelsetid.","","","","","","","","","",,,,,"",,,,"lookupresidentforfullprofile.personPost.personFodelsetid",0,1,"",""
