"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"processlaboratoryreport-request","processlaboratoryreport-request","","","",0,*,"","","","null {[]} {[]}
","ProcessLaboratoryReport — Request","Logisk modell för requestparametrar i ProcessLaboratoryReport. Registrerar
ett nytt laboratoriesvar med tillhörande information om patient, beställande
enhet, provtagningstidpunkt och agensförekomst. Ett befintligt laboratoriesvar
kan uppdateras genom att ett nytt meddelande med samma svarsid skickas in.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processlaboratoryreport-request.logicalAddress","processlaboratoryreport-request.logicalAddress","","","",1,1,"","","","Identifier {[]} {[]}
","Logisk adress","Logisk adress till tjänsteimplementationen. HSA-id för organisationspost
motsvarande vårdgivare i HSA-trädet.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.logicalAddress",1,1,"",""
"processlaboratoryreport-request.reportId","processlaboratoryreport-request.reportId","","","",1,1,"","","","string {[]} {[]}
","Svars-id","RIV-specifikation: Laboratoriesvar.svars-id. HSA-id + Lokalt id (HSA-id
för den enhet inom vilket aktuellt svars-id är unikt anges före det
lokala id:t).","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.reportId",1,1,"",""
"processlaboratoryreport-request.samplingTime","processlaboratoryreport-request.samplingTime","","","",1,1,"","","","dateTime {[]} {[]}
","Provtagningstidpunkt","RIV-specifikation: Provtagning.provtagningstidpunkt.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.samplingTime",1,1,"",""
"processlaboratoryreport-request.careProviderId","processlaboratoryreport-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","Vårdgivare","HSA-id för aktuell vårdgivare.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.careProviderId",1,1,"",""
"processlaboratoryreport-request.registeringUnitId","processlaboratoryreport-request.registeringUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","Registrerande enhet","RIV-specifikation: Laboratoriesvar.har beställande.Enhet.enhets-id.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.registeringUnitId",1,1,"",""
"processlaboratoryreport-request.microbiologicalFinding","processlaboratoryreport-request.microbiologicalFinding","","","",1,*,"","","","BackboneElement {[]} {[]}
","Mikrobiologiska fynd","Mikrobiologiska fynd","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.microbiologicalFinding",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processlaboratoryreport-request.microbiologicalFinding.id","processlaboratoryreport-request.microbiologicalFinding.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processlaboratoryreport-request.microbiologicalFinding.extension","processlaboratoryreport-request.microbiologicalFinding.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processlaboratoryreport-request.microbiologicalFinding.modifierExtension","processlaboratoryreport-request.microbiologicalFinding.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processlaboratoryreport-request.microbiologicalFinding.observationTime","processlaboratoryreport-request.microbiologicalFinding.observationTime","","","",1,1,"","","","dateTime {[]} {[]}
","Observationstidpunkt","RIV-specifikation: Mikrobiologiskt fynd.observationstidpunkt.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.microbiologicalFinding.observationTime",1,1,"",""
"processlaboratoryreport-request.microbiologicalFinding.agentCode","processlaboratoryreport-request.microbiologicalFinding.agentCode","","","",1,1,"","","","code {[]} {[]}
","Agenskod","RIV-specifikation: Mikrobiologiskt fynd.agenskod.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.microbiologicalFinding.agentCode",1,1,"",""
"processlaboratoryreport-request.personIdIssuer","processlaboratoryreport-request.personIdIssuer","","","",1,1,"","","","string {[]} {[]}
","Utfärdare av person-id","För personnummer och samordningsnummer: ""Skatteverket"". För lokalt
reservnummer: ""CeHis"".","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.personIdIssuer",1,1,"",""
"processlaboratoryreport-request.personIdAssigner","processlaboratoryreport-request.personIdAssigner","","","",1,1,"","","","string {[]} {[]}
","Tilldelare av person-id","För personnummer och samordningsnummer: ""Folkbokföringen"". För lokalt
reservnummer: HSA-id för den enhet inom vilket aktuellt reservnummer är
unikt.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.personIdAssigner",1,1,"",""
"processlaboratoryreport-request.patientId","processlaboratoryreport-request.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens person-id","RIV-specifikation: Patient.person-id. system = OID för personnummer,
nationellt reservnummer eller samordningsnummer (se personIdOid),
value = själva numret.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patientId",1,1,"",""
"processlaboratoryreport-request.personIdOid","processlaboratoryreport-request.personIdOid","","","",1,1,"","","","uri {[]} {[]}
","OID för person-id","OID för personnummer, nationellt reservnummer eller samordningsnummer.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.personIdOid",1,1,"",""
"processlaboratoryreport-request.patientBirthTime","processlaboratoryreport-request.patientBirthTime","","","",1,1,"","","","dateTime {[]} {[]}
","Patientens födelsetidpunkt","RIV-specifikation: Patient.födelsetidpunkt.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patientBirthTime",1,1,"",""
"processlaboratoryreport-request.patientGender","processlaboratoryreport-request.patientGender","","","",1,1,"","","","code {[]} {[]}
","Patientens kön","RIV-specifikation: Patient.kön. Kodverk anges externt i
RIV-specifikation Infektionsverktyget.pdf — inte återgivet i TKB-texten.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patientGender",1,1,"",""
