Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.processdevelopment-infections.json	11896	-	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	0	0	0	78	103	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-resultcode-cs.json	810	2	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	62	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-deleteactivity.json	2462	1	0	5	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	27	517	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-deletecareencounter.json	2552	1	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deletecondition.json	2480	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deletelaboratoryreport.json	2606	1	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	23	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteprescription.json	2688	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	64	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-deleteprescriptionreason.json	2748	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	62	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-processactivity-request.json	7359	2	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	63	99	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-processactivity.json	2102	1	0	3	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	23	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-processcareencounter-request.json	7112	3	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	63	89	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-processcareencounter.json	2218	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-processcondition-request.json	7176	2	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	46	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-processcondition.json	2170	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-processlaboratoryreport-request.json	7614	4	0	12	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	53	118	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-processlaboratoryreport.json	2228	1	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-processprescriptionreason-request.json	16149	4	0	21	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	110	157	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-processprescriptionreason.json	2256	3	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	51	0	0	0	2	0	0
fsh-generated/resources/ValueSet-resultcode-vs.json	452	1	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	4	57	0	0	0	0	0	0
/input/includes/menu.xml	759	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1264	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/3-tjanstedomanens-arkitektur.md	917	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	2427	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/7-tjanstekontrakt.md	45708	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
/input/pagecontent/6-gemensamma-informationskomponenter.md	1152	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/2-versionsinformation.md	3909	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/1-inledning.md	1495	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/5-tjanstedomanens-meddelandemodeller.md	649	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/4-tjanstedomanens-krav-och-regler.md	5473	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ws-addressing-1.0.xsd	6203	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ProcessCareEncounterResponder_1.0.xsd	2284	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/DeleteLaboratoryReportResponder_1.0.xsd	2167	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteLaboratoryReportInteraction_1.0_RIVTABP20.wsdl	4145	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/AB_processdevelopment_infections.docx	162979	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteActivityInteraction_1.0_RIVTABP20.wsdl	3929	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/Activity-1.0.xsd	18568	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ProcessActivityResponder_1.0.xsd	2229	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ProcessConditionResponder_1.0.xsd	2240	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/BaseTypes-1.0.xsd	19162	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteConditionInteraction_1.0_RIVTABP20.wsdl	3955	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ProcessPrescriptionReasonResponder_1.0.xsd	2350	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/CareEncounter-1.0.xsd	9187	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ProcessActivityInteraction_1.0_RIVTABP20.wsdl	3941	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/LaboratoryReport-1.0.xsd	19962	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ProcessConditionInteraction_1.0_RIVTABP20.wsdl	3968	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
