"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getfmb","getfmb","","","",0,*,"","","","null {[]} {[]}
","GetFmb","Logisk modell för tjänstekontraktet GetFmb
(RIV-TA urn:riv:processmanagement:decisionsupport:insurancemedicinedecisionsupport:GetFmb:1).
Representerar responsens informationsstruktur — beslutsunderlag från FMB
(Försäkringsmedicinskt beslutsstöd).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getfmb.beslutsunderlag","getfmb.beslutsunderlag","","","",0,*,"","","","BackboneElement {[]} {[]}
","Beslutsunderlag","Beslutsunderlag innehåller information om beslutsunderlag som kan användas vid bedömning om
sjukskrivning. Ett beslutunderlag kan användas som underlag för bedömning när samtliga villkor
kopplade till klassen är uppfyllda.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getfmb.beslutsunderlag.id","getfmb.beslutsunderlag.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getfmb.beslutsunderlag.extension","getfmb.beslutsunderlag.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfmb.beslutsunderlag.modifierExtension","getfmb.beslutsunderlag.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfmb.beslutsunderlag.underlagsId","getfmb.beslutsunderlag.underlagsId","","","",1,1,"","","","Identifier {[]} {[]}
","Globalt unik identifierare för beslutsunderlaget","Globalt unik identifierare för beslutsunderlaget","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.underlagsId",1,1,"",""
"getfmb.beslutsunderlag.giltighetstidStart","getfmb.beslutsunderlag.giltighetstidStart","","","",1,1,"","","","date {[]} {[]}
","Giltighetstid — starttid","Starttid för giltighetstiden. Starttiden skall alltid anges.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.giltighetstidStart",1,1,"",""
"getfmb.beslutsunderlag.giltighetstidSlut","getfmb.beslutsunderlag.giltighetstidSlut","","","",0,1,"","","","date {[]} {[]}
","Giltighetstid — sluttid","Sluttid för giltighetstiden. Om sluttid ej anges är beslutsrekommendationen aktiv.
Ett beslutsunderlag som inte är aktiv skall innehålla ett slutdatum som ligger tidigare
än aktuellt datum, eller ett startdatum som ligger senare än aktuellt datum.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.giltighetstidSlut",0,1,"",""
"getfmb.beslutsunderlag.version","getfmb.beslutsunderlag.version","","","",1,1,"","","","integer {[]} {[]}
","Versionsnummer för beslutsunderlaget","Versionen räknas upp när ett beslutsunderlag förändrats i sin innebörd eller ändrar giltighetstid.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.version",1,1,"",""
"getfmb.beslutsunderlag.textuelltUnderlag","getfmb.beslutsunderlag.textuelltUnderlag","","","",0,1,"","","","string {[]} {[]}
","Textuell beskrivning av beslutsunderlaget","Varje beslutsunderlag beskrivs i textuell form, som omfattar alla villkor och rekommendationer
som omfattas av beslutsunderlag samt annan information som är relevant i beslutsfattandet.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.textuelltUnderlag",0,1,"",""
"getfmb.beslutsunderlag.sjukskrivningstidText","getfmb.beslutsunderlag.sjukskrivningstidText","","","",1,1,"","","","string {[]} {[]}
","Sjukskrivningstid — textuell representation","Totala sjukskrivningstidens längd med början från första intygsdag.
Textuell representation som alltid är ifylld även där sjukskrivningstiden inte kan kvantifieras.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.sjukskrivningstidText",1,1,"",""
"getfmb.beslutsunderlag.sjukskrivningstidVarde","getfmb.beslutsunderlag.sjukskrivningstidVarde","","","",0,1,"","","","decimal {[]} {[]}
","Sjukskrivningstid — numeriskt värde","Numeriskt värde för sjukskrivningstiden. Anges ej om sjukskrivningstiden inte kan kvantifieras.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.sjukskrivningstidVarde",0,1,"",""
"getfmb.beslutsunderlag.sjukskrivningstidEnhet","getfmb.beslutsunderlag.sjukskrivningstidEnhet","","","",0,1,"","","","string {[]} {[]}
","Sjukskrivningstid — enhet (UCUM)","Enhet för tidsangivelsen enligt UCUM: månad='mo', vecka='wk', dag='d'.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.sjukskrivningstidEnhet",0,1,"",""
"getfmb.beslutsunderlag.sjukskrivningsgrad","getfmb.beslutsunderlag.sjukskrivningsgrad","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Grad av sjukskrivning","Anger grad av sjukskrivning. Exempel på värden: Heltid, Deltid.
Kodas med lokalt kodverk.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.sjukskrivningsgrad",1,1,"",""
"getfmb.beslutsunderlag.senastAndrad","getfmb.beslutsunderlag.senastAndrad","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt när beslutsunderlaget senast ändrades","Tidpunkt när beslutsunderlaget senast ändrades","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.senastAndrad",1,1,"",""
"getfmb.beslutsunderlag.rehabiliteringsInformation","getfmb.beslutsunderlag.rehabiliteringsInformation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Rehabiliteringsinformation","Rehabiliteringsinformation","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.rehabiliteringsInformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getfmb.beslutsunderlag.rehabiliteringsInformation.id","getfmb.beslutsunderlag.rehabiliteringsInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getfmb.beslutsunderlag.rehabiliteringsInformation.extension","getfmb.beslutsunderlag.rehabiliteringsInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfmb.beslutsunderlag.rehabiliteringsInformation.modifierExtension","getfmb.beslutsunderlag.rehabiliteringsInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfmb.beslutsunderlag.rehabiliteringsInformation.beskrivning","getfmb.beslutsunderlag.rehabiliteringsInformation.beskrivning","","","",1,1,"","","","string {[]} {[]}
","Beskrivning av rehabiliteringsåtgärd","Beskrivning av rehabiliteringsåtgärd","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.rehabiliteringsInformation.beskrivning",1,1,"",""
"getfmb.beslutsunderlag.huvudDiagnos","getfmb.beslutsunderlag.huvudDiagnos","","","",1,*,"","","","BackboneElement {[]} {[]}
","Huvuddiagnos för vilken beslutsunderlaget gäller","Huvuddiagnos för vilken beslutsunderlaget gäller","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.huvudDiagnos",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getfmb.beslutsunderlag.huvudDiagnos.id","getfmb.beslutsunderlag.huvudDiagnos.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getfmb.beslutsunderlag.huvudDiagnos.extension","getfmb.beslutsunderlag.huvudDiagnos.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfmb.beslutsunderlag.huvudDiagnos.modifierExtension","getfmb.beslutsunderlag.huvudDiagnos.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getfmb.beslutsunderlag.huvudDiagnos.varde","getfmb.beslutsunderlag.huvudDiagnos.varde","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Huvuddiagnos angiven med ICD-10-SE-kod","Huvuddiagnos angiven med ICD-10-SE-kod","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.huvudDiagnos.varde",1,1,"",""
"getfmb.beslutsunderlag.villkor","getfmb.beslutsunderlag.villkor","","","",1,1,"","","","BackboneElement {[]} {[]}
","Villkor för att beslutsunderlaget skall gälla","Villkor samlar underliggande faktorer som måste vara uppfyllda för att ett beslutsunderlag
skall gälla. Förekomsten av en 'urvals-klass' är ett OCH-villkor. Flera koder inom ett urval
är ett ELLER-villkor.","","","","","","","","","",,,,,"",,,,"getfmb.beslutsunderlag.villkor",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
