"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"skapaapotek","skapaapotek","","","",0,*,"","","","null {[]} {[]}
","SkapaApotek — Response","Logisk modell för svaret i SkapaApotek
(urn:riv:se.apotekensservice:expo:SkapaApotekResponder:6, SkapaApotekResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"skapaapotek.allmTelefon","skapaapotek.allmTelefon","","","",1,1,"","","","string {[]} {[]}
","allmTelefon","Expeditionsställets allmänna telefonnummer.","","","","","","","","","",,,,,"",,,,"skapaapotek.allmTelefon",1,1,"",""
"skapaapotek.besoksAdress","skapaapotek.besoksAdress","","","",1,1,"","","","string {[]} {[]}
","besoksAdress","Expeditionsställets besöksadress.","","","","","","","","","",,,,,"",,,,"skapaapotek.besoksAdress",1,1,"",""
"skapaapotek.besoksort","skapaapotek.besoksort","","","",1,1,"","","","string {[]} {[]}
","besoksort","Expeditionsställets ort (besöksort).","","","","","","","","","",,,,,"",,,,"skapaapotek.besoksort",1,1,"",""
"skapaapotek.eRecept","skapaapotek.eRecept","","","",1,1,"","","","boolean {[]} {[]}
","eRecept","Flagga som anger om expeditionsstället är ett apotek som kan hantera e-recept för besökande privat personer. Om eRecept är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek.eRecept",1,1,"",""
"skapaapotek.eReceptDjur","skapaapotek.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering om apoteket kan expediera elektroniska djurrecept eller ej. Om eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"skapaapotek.eReceptDjur",1,1,"",""
"skapaapotek.faxnummer","skapaapotek.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Expeditionsställets faxnummer. Obligatoriskt om huvudorganisationskod = DX eller om Organisationskod = DOS","","","","","","","","","",,,,,"",,,,"skapaapotek.faxnummer",0,1,"",""
"skapaapotek.huvudOrgTypKod","skapaapotek.huvudOrgTypKod","","","",1,1,"","","","string {[]} {[]}
","huvudOrgTypKod","Huvudtypkoden är till stöd för dagens lösning av vårdsystem. På sikt önskar Apotekens Service AB att dessa koder arbetas bort och byts ut mot organisationstypflaggorna (ADM, DIST, DJAP, DOS, EA, EH, GSL, SA, TILV) Möjliga värden: ADM, AP, DIAP, DJUR, DX, OAP, SA, TVAP ADM En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter. AP Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet. DIAP Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner DJUR Ett apotek som har utökat djursortiment. DX Dosapotek - enhet för produktion av dosdispenserade läkemedel. OAP Övriga apotek - gammal definition av apotek. Bör ej användas. SA Sjukhusapotek - apotek som ger service till slutenvårdsenheter TVAP Enhet som på beställning tillverkar specifika individanpassade läkemedel.","","","","","","","","","",,,,,"",,,,"skapaapotek.huvudOrgTypKod",1,1,"",""
"skapaapotek.idLista","skapaapotek.idLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","idLista","Lista innehållande en eller flera identifierare för expeditionsstället. En Identitet som ska gälla för ett expeditionsställe kan skickas en eller flera gånger och tas aldrig bort. Vid uppdatering av ett expeditionsställe skickas en eller flera identiteter som identifierare. Obs! GLN-kod måste alltid skickas med.","","","","","","","","","",,,,,"",,,,"skapaapotek.idLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"skapaapotek.idLista.id","skapaapotek.idLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"skapaapotek.idLista.extension","skapaapotek.idLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
