"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"uppdateraexpomedapotek","uppdateraexpomedapotek","","","",0,*,"","","","null {[]} {[]}
","UppdateraExpoMedApotek — Response","Logisk modell för svaret i UppdateraExpoMedApotek
(urn:riv:se.apotekensservice:expo:UppdateraExpoMedApotekResponder:6, UppdateraExpoMedApotekResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"uppdateraexpomedapotek.allmTelefon","uppdateraexpomedapotek.allmTelefon","","","",1,1,"","","","string {[]} {[]}
","allmTelefon","Expeditionsställets allmänna telefonnummer.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.allmTelefon",1,1,"",""
"uppdateraexpomedapotek.besoksAdress","uppdateraexpomedapotek.besoksAdress","","","",1,1,"","","","string {[]} {[]}
","besoksAdress","Expeditionsställets besöksadress.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.besoksAdress",1,1,"",""
"uppdateraexpomedapotek.besoksort","uppdateraexpomedapotek.besoksort","","","",1,1,"","","","string {[]} {[]}
","besoksort","Expeditionsställets ort (besöksort).","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.besoksort",1,1,"",""
"uppdateraexpomedapotek.eRecept","uppdateraexpomedapotek.eRecept","","","",1,1,"","","","boolean {[]} {[]}
","eRecept","Flagga som anger om expeditionsstället är ett apotek som kan hantera e-recept för besökande privat personer. Om eRecept är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.eRecept",1,1,"",""
"uppdateraexpomedapotek.eReceptDjur","uppdateraexpomedapotek.eReceptDjur","","","",1,1,"","","","boolean {[]} {[]}
","eReceptDjur","Markering om apoteket kan expediera elektroniska djurrecept eller ej. Om eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.eReceptDjur",1,1,"",""
"uppdateraexpomedapotek.faxnummer","uppdateraexpomedapotek.faxnummer","","","",0,1,"","","","string {[]} {[]}
","faxnummer","Expeditionsställets faxnummer. Obligatoriskt om huvudorganisationskod = DX eller om Organisationskod = DOS","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.faxnummer",0,1,"",""
"uppdateraexpomedapotek.huvudOrgTypKod","uppdateraexpomedapotek.huvudOrgTypKod","","","",1,1,"","","","string {[]} {[]}
","huvudOrgTypKod","Huvudtypkoden är till stöd för dagens lösning av vårdsystem. På sikt önskar Apotekens Service AB att dessa koder arbetas bort och byts ut mot organisationstypflaggorna (ADM, DIST, DJAP, DOS, EA, EH, GSL, SA, TILV) Möjliga värden: ADM, AP, DIAP, DJUR, DX, OAP, SA, TVAP ADM En organisatiorisk enhet inom ett företag som har rent administrativa uppgifter. AP Apotek för allmänheten - enhet för detaljhandel med läkemedel med farmaceutisk bemanning under öppethållandet. DIAP Distansapotek - Större apoteksenhet med ansvar att kunna distribuera apoteksvaror direkt till avtalskunder, apoteksombud eller privatpersoner DJUR Ett apotek som har utökat djursortiment. DX Dosapotek - enhet för produktion av dosdispenserade läkemedel. OAP Övriga apotek - gammal definition av apotek. Bör ej användas. SA Sjukhusapotek - apotek som ger service till slutenvårdsenheter TVAP Enhet som på beställning tillverkar specifika individanpassade läkemedel.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.huvudOrgTypKod",1,1,"",""
"uppdateraexpomedapotek.idLista","uppdateraexpomedapotek.idLista","","","",1,*,"","","","BackboneElement {[]} {[]}
","idLista","Lista innehållande en eller flera identifierare för expeditionsstället. En Identitet som ska gälla för ett expeditionsställe kan skickas en eller flera gånger och tas aldrig bort. Vid uppdatering av ett expeditionsställe skickas en eller flera identiteter som identifierare. Obs! GLN-kod måste alltid skickas med.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.idLista",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"uppdateraexpomedapotek.idLista.id","uppdateraexpomedapotek.idLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"uppdateraexpomedapotek.idLista.extension","uppdateraexpomedapotek.idLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek.idLista.modifierExtension","uppdateraexpomedapotek.idLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"uppdateraexpomedapotek.idLista.exportId","uppdateraexpomedapotek.idLista.exportId","","","",0,1,"","","","boolean {[]} {[]}
","exportId","Obligatorisk för identitet med glnKod. Måste vara true om eRecept och/eller eReceptDjur är true. ExportId får ej sättas till true för en butikskod (används bara för GLN).","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.idLista.exportId",0,1,"",""
"uppdateraexpomedapotek.idLista.glnKod","uppdateraexpomedapotek.idLista.glnKod","","","",0,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod Måste sättas på en av identiteterna. Endast en glnkod per expeditionsställe är tillåtet.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.idLista.glnKod",0,1,"",""
"uppdateraexpomedapotek.kommun","uppdateraexpomedapotek.kommun","","","",1,1,"","","","integer {[]} {[]}
","kommun","Expeditionsställets kommuntillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.kommun",1,1,"",""
"uppdateraexpomedapotek.kortNamn","uppdateraexpomedapotek.kortNamn","","","",0,1,"","","","string {[]} {[]}
","kortNamn","Kortversion på apoteksnamn. Behövs i bla i vårdsystem. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.kortNamn",0,1,"",""
"uppdateraexpomedapotek.lan","uppdateraexpomedapotek.lan","","","",1,1,"","","","integer {[]} {[]}
","lan","Expeditionsställets länstillhörighet, kod enligt SCB.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek.lan",1,1,"",""
