"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer","hamtaaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer.apoteksInformationLista","hamtaaktuellaordinationer.apoteksInformationLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","apoteksInformationLista","Lista med apotek därifrån förändringar eller skapande utförts på/av ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.apoteksInformationLista.id","hamtaaktuellaordinationer.apoteksInformationLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.extension","hamtaaktuellaordinationer.apoteksInformationLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.apoteksInformationLista.modifierExtension","hamtaaktuellaordinationer.apoteksInformationLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.apoteksInformationLista.aktorsnamn","hamtaaktuellaordinationer.apoteksInformationLista.aktorsnamn","","","",0,1,"","","","string {[]} {[]}
","aktorsnamn","Officiellt namn för aktör","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.aktorsnamn",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.aktorsorgnr","hamtaaktuellaordinationer.apoteksInformationLista.aktorsorgnr","","","",0,1,"","","","string {[]} {[]}
","aktorsorgnr","Aktörens organisationsnummer.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.aktorsorgnr",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.allmantelefon","hamtaaktuellaordinationer.apoteksInformationLista.allmantelefon","","","",0,1,"","","","string {[]} {[]}
","allmantelefon","Telefonnummer för receptexpedition","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.allmantelefon",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.besoksadress","hamtaaktuellaordinationer.apoteksInformationLista.besoksadress","","","",0,1,"","","","string {[]} {[]}
","besoksadress","Expeditionsställets besöksadress","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.besoksadress",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.eReceptDjur","hamtaaktuellaordinationer.apoteksInformationLista.eReceptDjur","","","",0,1,"","","","boolean {[]} {[]}
","eReceptDjur","Anger om apoteket expedierar erecept för djur","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.eReceptDjur",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.fax","hamtaaktuellaordinationer.apoteksInformationLista.fax","","","",0,1,"","","","string {[]} {[]}
","fax","Expeditionsställets faxnummer","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.fax",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.glnKod","hamtaaktuellaordinationer.apoteksInformationLista.glnKod","","","",1,1,"","","","string {[]} {[]}
","glnKod","Expeditionsställets GLN-kod","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.glnKod",1,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.huvudtypkod","hamtaaktuellaordinationer.apoteksInformationLista.huvudtypkod","","","",0,1,"","","","string {[]} {[]}
","huvudtypkod","Kod som beskriver huvudverksamheten för expeditionsstället","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.huvudtypkod",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.namn","hamtaaktuellaordinationer.apoteksInformationLista.namn","","","",0,1,"","","","string {[]} {[]}
","namn","Expeditionsställets officiella namn","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.namn",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.ort","hamtaaktuellaordinationer.apoteksInformationLista.ort","","","",0,1,"","","","string {[]} {[]}
","ort","Expeditionsställets besöksort","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.ort",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.registrerad","hamtaaktuellaordinationer.apoteksInformationLista.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","registrerad","Anger om apoteket finns registrerat i EXPO. Om false så saknar alla fält utom glnKod värden.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.registrerad",1,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.slutdatum","hamtaaktuellaordinationer.apoteksInformationLista.slutdatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutdatum","Datum för stängning av verksamhet","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.slutdatum",0,1,"",""
"hamtaaktuellaordinationer.apoteksInformationLista.startdatum","hamtaaktuellaordinationer.apoteksInformationLista.startdatum","","","",0,1,"","","","dateTime {[]} {[]}
","startdatum","Datum för start av verksamhet","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.apoteksInformationLista.startdatum",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista","hamtaaktuellaordinationer.arbetsplatsInfoLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","arbetsplatsInfoLista","Lista med arbetsplatser därifrån förändringar utförts på ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.arbetsplatsInfoLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.arbetsplatsInfoLista.id","hamtaaktuellaordinationer.arbetsplatsInfoLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.arbetsplatsInfoLista.extension","hamtaaktuellaordinationer.arbetsplatsInfoLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.arbetsplatsInfoLista.modifierExtension","hamtaaktuellaordinationer.arbetsplatsInfoLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
