"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtahkdbtransaktioner-request","hamtahkdbtransaktioner-request","","","",0,*,"","","","null {[]} {[]}
","HamtaHkdbTransaktioner — Request","Logisk modell för begäran i HamtaHkdbTransaktioner
(urn:riv:se.apotekensservice:pris:HamtaHkdbTransaktionerResponder:1, HamtaHkdbTransaktionerRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtahkdbtransaktioner-request.logicalAddress","hamtahkdbtransaktioner-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. Orgnr of Apotekens Service AB","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.logicalAddress",1,1,"",""
"hamtahkdbtransaktioner-request.argosHeader","hamtahkdbtransaktioner-request.argosHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","argosHeader","SOAP-huvud ArgosHeader. Argos header of Apotekens Service AB. Check documentation regarding mandatory fields for this specific service interaction","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtahkdbtransaktioner-request.argosHeader.id","hamtahkdbtransaktioner-request.argosHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.extension","hamtahkdbtransaktioner-request.argosHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtahkdbtransaktioner-request.argosHeader.modifierExtension","hamtahkdbtransaktioner-request.argosHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtahkdbtransaktioner-request.argosHeader.forskrivarkod","hamtahkdbtransaktioner-request.argosHeader.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","forskrivarkod","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.forskrivarkod",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.legitimationskod","hamtahkdbtransaktioner-request.argosHeader.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","legitimationskod","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.legitimationskod",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.fornamn","hamtahkdbtransaktioner-request.argosHeader.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","fornamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.fornamn",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.efternamn","hamtahkdbtransaktioner-request.argosHeader.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","efternamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.efternamn",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.yrkesgrupp","hamtahkdbtransaktioner-request.argosHeader.yrkesgrupp","","","",0,1,"","","","string {[]} {[]}
","yrkesgrupp","yrkesgrupp","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.yrkesgrupp",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.befattningskod","hamtahkdbtransaktioner-request.argosHeader.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","befattningskod","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.befattningskod",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.arbetsplatskod","hamtahkdbtransaktioner-request.argosHeader.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","arbetsplatskod","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.arbetsplatskod",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.arbetsplatsnamn","hamtahkdbtransaktioner-request.argosHeader.arbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","arbetsplatsnamn","arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.arbetsplatsnamn",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.postort","hamtahkdbtransaktioner-request.argosHeader.postort","","","",0,1,"","","","string {[]} {[]}
","postort","postort","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.postort",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.postadress","hamtahkdbtransaktioner-request.argosHeader.postadress","","","",0,1,"","","","string {[]} {[]}
","postadress","postadress","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.postadress",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.postnummer","hamtahkdbtransaktioner-request.argosHeader.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","postnummer","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.postnummer",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.telefonnummer","hamtahkdbtransaktioner-request.argosHeader.telefonnummer","","","",0,1,"","","","string {[]} {[]}
","telefonnummer","telefonnummer","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.telefonnummer",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.requestId","hamtahkdbtransaktioner-request.argosHeader.requestId","","","",0,1,"","","","string {[]} {[]}
","requestId","requestId","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.requestId",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.rollnamn","hamtahkdbtransaktioner-request.argosHeader.rollnamn","","","",0,1,"","","","string {[]} {[]}
","rollnamn","rollnamn","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.rollnamn",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.hsaID","hamtahkdbtransaktioner-request.argosHeader.hsaID","","","",0,1,"","","","string {[]} {[]}
","hsaID","hsaID","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.hsaID",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.katalog","hamtahkdbtransaktioner-request.argosHeader.katalog","","","",0,1,"","","","string {[]} {[]}
","katalog","katalog","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.katalog",0,1,"",""
"hamtahkdbtransaktioner-request.argosHeader.organisationsnummer","hamtahkdbtransaktioner-request.argosHeader.organisationsnummer","","","",0,1,"","","","string {[]} {[]}
","organisationsnummer","organisationsnummer","","","","","","","","","",,,,,"",,,,"hamtahkdbtransaktioner-request.argosHeader.organisationsnummer",0,1,"",""
