"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"prisfraga","prisfraga","","","",0,*,"","","","null {[]} {[]}
","Prisfraga — Response","Logisk modell för svaret i Prisfraga
(urn:riv:se.apotekensservice:pris:PrisfragaResponder:4, PrisfragaResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"prisfraga.bruttoBeloppHogkostnad","prisfraga.bruttoBeloppHogkostnad","","","",0,1,"","","","decimal {[]} {[]}
","bruttoBeloppHogkostnad","Förmånsgrundande bruttobelopp kopplat till högkostnadsskyddet. Bruttobelopp inkl. ev. moms, att tillgodoräkna i högkostnadsskyddet. Gäller förmånskod = R. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.bruttoBeloppHogkostnad",0,1,"",""
"prisfraga.bruttoPris","prisfraga.bruttoPris","","","",1,1,"","","","decimal {[]} {[]}
","bruttoPris","Summa apoteksaktörs utpris inkl. ev. moms för receptexpeditionen. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.bruttoPris",1,1,"",""
"prisfraga.egenAvgiftHogkostnad","prisfraga.egenAvgiftHogkostnad","","","",0,1,"","","","decimal {[]} {[]}
","egenAvgiftHogkostnad","Summa kundens egenavgift kopplat till högkostnadsskyddet. Egenavgift inkl. ev. moms, att tillgodoräkna i högkostnadsskyddet. Gäller förmånskod = R. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.egenAvgiftHogkostnad",0,1,"",""
"prisfraga.egenAvgiftLivsmedel","prisfraga.egenAvgiftLivsmedel","","","",0,1,"","","","decimal {[]} {[]}
","egenAvgiftLivsmedel","Summa kundens egenavgift inkl. moms för livsmedel till barn under 16 år. Gäller förmånskod = L. Max 120 kr. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.egenAvgiftLivsmedel",0,1,"",""
"prisfraga.kundKostnad","prisfraga.kundKostnad","","","",1,1,"","","","decimal {[]} {[]}
","kundKostnad","Kostnad kunden skall betala. Egenavgift, pristillägg samt pris inkl. ev . moms för varor utan förmån. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.kundKostnad",1,1,"",""
"prisfraga.landstingetsFormanskostnad","prisfraga.landstingetsFormanskostnad","","","",0,1,"","","","decimal {[]} {[]}
","landstingetsFormanskostnad","Summa förmån inkl. ev. moms för receptexpeditionen. Gäller förmånskod = R, F och L. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.landstingetsFormanskostnad",0,1,"",""
"prisfraga.personnummer","prisfraga.personnummer","","","",1,1,"","","","string {[]} {[]}
","personnummer","Personnummer för person som prisfrågan gäller. Om personnummer saknas, använd tjänsten AnonymPrisfraga","","","","","","","","","",,,,,"",,,,"prisfraga.personnummer",1,1,"",""
"prisfraga.prisTillagg","prisfraga.prisTillagg","","","",0,1,"","","","decimal {[]} {[]}
","prisTillagg","Summa pristillägg inom läkemdelsförmånen. Gäller förmånskod = R. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.prisTillagg",0,1,"",""
"prisfraga.rader","prisfraga.rader","","","",1,*,"","","","BackboneElement {[]} {[]}
","rader","Rader","","","","","","","","","",,,,,"",,,,"prisfraga.rader",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"prisfraga.rader.id","prisfraga.rader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"prisfraga.rader.extension","prisfraga.rader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"prisfraga.rader.modifierExtension","prisfraga.rader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"prisfraga.rader.bruttoPris","prisfraga.rader.bruttoPris","","","",1,1,"","","","decimal {[]} {[]}
","bruttoPris","Apoteksaktörs utpris för receptrad inkl. ev. moms. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.rader.bruttoPris",1,1,"",""
"prisfraga.rader.prisTillagg","prisfraga.rader.prisTillagg","","","",0,1,"","","","decimal {[]} {[]}
","prisTillagg","Radens ev. pristillägg inom läkemdelsförmånen. Gäller förmånskod = R. Vid kreditering blir detta värde negativt.","","","","","","","","","",,,,,"",,,,"prisfraga.rader.prisTillagg",0,1,"",""
"prisfraga.rader.radNr","prisfraga.rader.radNr","","","",1,1,"","","","integer {[]} {[]}
","radNr","Radnr.","","","","","","","","","",,,,,"",,,,"prisfraga.rader.radNr",1,1,"",""
